review_tokens_stemmed,Sentimen
tipe kulit kering,Netral
ini pertama kali saya tidak terima barang pesan saya cara lengkap sayang saya tidak laku video unboxing,Negatif
beli tanggal mei chat admin kata tanggal bisa kirim tapi sampai sudah mau batal otomatis baru kirim sampai di rumah tanggal malam padahal mau bawa ke luar kota tanggal mei karena lihat status enggak kirim akhir beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tapi layan buruk dan kirim lama barang yang kirim sesuai hanya tidak ada box atau bubble wrap kalo yang butuh cepat tolong timbang untuk beli di official store,Negatif
sudah proses lama banget yang kirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,Negatif
saya kira beli dari toko official bisa dapat emas lebih baik saya terima kondisi kotak kemas prpduk buka dan saya tanya chat jual tidak direspond dengan cepat tidak ada isi yang tumpah cuma harap kotak kemas dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,Negatif
tiap belanja pasti salah kalo enggak kurang barang ya salah barang ikhlasin saja moga berkah kalo produk cocok layan nya saja kurang atau butuh karyawan,Negatif
layan jelek banget,Negatif
exp panjang thanks,Negatif
dapat tekstur sudah keras dan gumpal,Negatif
terima dalam keaadan bocor seperti bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas saja mau complain entar lama lagi proses,Negatif
tekstur kental banget di aku kurang ngefek sih probably enggak beli lagi,Negatif
botol semprot suka ngawur arah,Netral
produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,Netral
sudah sering pakai ini isi banyak dan bahan enggak neko fokus melembabkan,Positif
tekstur ringan kirim cepat,Positif
respon toko nya cepat dan ramah belum coba mudah mudah cocok,Positif
sudah langgan selalu beli sini,Positif
tutup pumpnya enggak bisa fungsi tapi ok gentle banget washnya,Positif
face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full muka sampai ke leher cocok banget buat kulit yang sensitif,Positif
material bagus packaging aman enggak bocor tekstur gel langsung resap aman dari fragrance packaging pump juga hygenis moga kulit sensitif saya cocok terima kasih ya,Positif
bagus pasti ro,Positif
bagus bagus cocok,Positif
dapat bonus,Positif
kasih free gift juga keren,Positif
benar aku suka banget produk resap cepat banget ke kulit enggak lengket dan greasy nyaman daan betul cocok karena bekas jerawat memang jadi lebih pudar tidak hilang begitu saja dan tentu butuh proses ya bestie tapiii yang turut skin game harus perhati lagi adalah pilih packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak buang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang,Positif
maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif
warna nya kuning entah karena apa,Netral
habis pakai ini besok langsung muncul banyak jerawat kecil,Negatif
isi beranta,Negatif
bikin aku jerawat,Negatif
produk belum coba kirim tidak guna bubble wrap hanya produk dan kotak kirim saat buka botol asa panas mungkin karena tidak di lapis bubble wrap jadi langsung papar sinar matahari saat kirim moga produk masih efektif kandung,Negatif
selang pendek apa sih sampai dia hilang bawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selang pakai tube aja kalo pakai packaging kayak begini masalah mulu sayang banget padahal formula bagus itu tapi kalo packagingnya begini sih big no deh,Negatif
ini parah banget seller dan kirim kurir sudah lama banget kirim plus waktu sampai buka paket rusak enggak jelas ini seller tidak professional dan tidak niat jual sama sekali meski official store tolong harga customer dengan dapat bungkus paket dengan baik dan benar,Negatif
untuk packaging suka banget dan rim juga cepat cuman sorry banget kayak memang enggak cocok di aku kayak langsung jerawat besar begitu,Netral
warna kuning kiri padahal baru buka punya saya sudah pakai bulan kanan masih bening,Negatif
benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,Negatif
belum coba pertama kali beli moga cocok bintang ini beri untuk respon admin dan antar pesan yang baik dan cepat,Positif
fast response on time delivery,Positif
belum coba moga cocok,Positif
tipe kulit minyak masalah kulit pori besar,Netral
moga cocok terima kasih bonus,Positif
barang tidak saya terima sampai sekarang kurir tanya balesnya lama karena kirim dipindahtangankan sama kurir pertama kecewa saya padahal alamat sudah sesuai dan biasa begini tolong kak komplain bagi ekspedisi kirim terima kasih,Negatif
enggak cocok muka tambah jerawat parah,Negatif
hadiah bohong,Negatif
bohong,Negatif
baru mau coba moga cocok tipe kulit kombinasi masalah kulit jerawat,Positif
oke,Positif
tipe kulit kering tipe kulit normal,Netral
pertama kali coba dengan warna kulit saya yang cenderung agak gelap awal saya pikir bakal jomplang pas pakai tapi nyata blend banget sama kulit warna jadi agak lebih cerah tapi bukan jadi tone up juga tekstur kaya foundy cair cepat nyerap awal kaya mate pas sudah kering tapi lama jadi glow up,Positif
seperti sudah botol ke apa begitu cocok itu kulit saya yang normal cenderung kering enak karena enggak ada white cast atau tone up jadi enggak asa cemong kulit saya yang putih,Positif
botol dua enak kulit gampang serap enggak ada masalah ke kulit mantap,Positif
produk tapi beda isi cair customer service tanya enggak bantu tele tele,Negatif
kecewa karena isi tidak full seperti saya beli di tempat lain,Negatif
paksa kasih nilai jelek untuk admin al el ve yang handle chat karena balas asal dan tidak jawab konsultasi customer dengan baik pertanyan dan jawab tidak sesuai asal balas tanpa baca masalah beli,Negatif
baru coba moga cocok recommended seller,Positif
pertama kali coba tinted sunscreen mudah cocok dan enggak oksidasi sesuai klaim packing aman kardus tambah bubble wrap tebal mantap,Positif
pesan barang paket lengkap yang datang hanya paket,Positif
lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure,Negatif
lot responnya,Negatif
wtf pas buka tutup nyata yang puter malah ke tempat moisturizernya langsung tumpah tengah,Negatif
isi tidak sesuai,Negatif
thanks,Positif
well received thanks,Positif
barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa toleransi thanks ya,Positif
produk biasa saja tapi yang paling parah layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah sedikit saja bakal fatal,Negatif
kata check out jam dapat lama tau enggak bohong banget buat yang mau check out jangan percaya ya,Negatif
kecewa pesan saya batal yang lain tidak akan pernah mau beli lagi terima kasih alas saya beli di toko ini adalah karena harga dari pusat normal sedang beli di reseller harga lambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi batal sama somethinc jahat banget pesan pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli mana lagi di stockist harga beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih,Negatif
itu beautiful package bintang buat safety nya,Positif
kirim agak lama karena beda provinsi tapi gapapa packingnya aman banget moga cocok dan bisa baik kulit aku tipe kulit minyak,Negatif
top,Positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif,Positif
exp,Positif
pertama banget dulu sih beli bagus banget ya di muka waktu itu kemas masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasi waktu pakai dulu memang feelnya beda tapi moga ngaruh di jerawat yang suka muncul tiba tiba,Netral
tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif,Positif
barang sesuai pesan,Positif
kirim oke saran untuk facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang begitu nyaman guna,Positif
moga cocok soal dulu cocok banget pakai ini,Positif
kirim cepat mantap,Netral
alhamdulillah sudah sampai barang dan emas barang juga ok thank you kurir sicepat team avoskin,Negatif
bahan gampang serap,Netral
bagus,Netral
bagus,Netral
oke,Negatif
dapat gratis mini pouch terima kasih moga cocok,Netral
alhamdulillah barang sudah sampai moga cocok dan selau dapat harga diskon yes,Negatif
cocok sama produk,Positif
sudah kali kali beli di toko official ini dan tiap kali beli selalu amanah thanks,Positif
barang nya oke,Positif
repeat order,Netral
masalah kulit pori besar,Negatif
ini beda nih dari pertama beli first time coba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini beli dua rasa ini formula beda banget ini lebih minyak tapi short lasting masa iya habis minum air hilang lah coba itu rugi dong sudah aku pindah haluan saja byeee,Negatif
tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth itu,Netral
cepat kirim baik ada bubble warp,Netral
tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar,Netral
dapat harga ceban yay belum coba,Netral
beli sekian kali cocok di muka apalagi kalo pas jerawat kulit tetap bisa nafas,Netral
nyata dapat ya baru pertama kali moga cocok,Netral
mudah cocok terima kasih,Positif
sudah sering beli ini dan selalu cocok,Netral
barang datang dengan selamat walau agak lama datang,Netral
packing nya bagus banget untuk cream dengan harga segitu tekstur ringan cepat resap di kulit enggak ada bau sengat sama sekali moga cocok di kulit aku yang kering tapi bruntusan terima kasih,Positif
terima kasih,Netral
bahan ringan mudah serap cocok di kulit aku yang jerawat enggak bikin breakout the best pokok,Netral
tipe kulit kombinasi masalah kulit jerawat,Netral
tipe kulit kombinasi,Netral
tipe kulit minyak masalah kulit pori besar original terima kasih,Netral
bahan ringan cocok guna,Positif
tipe kulit minyak baru mau coba maka ini tapi belum coba punya teman cocok,Netral
barang datang sesuai packing nya aman serta kirim cepat,Netral
asa cerah jika sudah pakai cuman di aku jadi bikin kering jadi mesti pakai pelembab muka lagi,Netral
sudah beberapa tahun pakai memang cocok karena enggak white cast begitu nyaman ringan juga thanks seller tipe kulit kombinasi,Netral
warna cantik banget,Netral
cocok di tipe kulit kombinasi,Netral
jujur agak panik pas lihat dus penyok tapi nyata isi aman meski pas buka dus kemas tutup botol moist nya agak kurang rapet untung isi masih aman enggak luber mana mana,Netral
jujur agak panik pas lihat dus penyok tapi nyata isi aman meski pas buka dus kemas tutup botol moist nya agak kurang rapet untung isi masih aman enggak luber mana mana baru sekali pakai produk yang ini oke banget pas pakai ke kulit cocok suka sama packing baru,Netral
cocok di kulit minyak kemas lucu,Netral
bahan ringan cepat resap terus packaging nya ok banget,Netral
terima kasih banyak paket sudah sampai dengan selamat,Netral
barang bagus sesuai packing mantap terima kasih,Netral
enggak usah tanya lagi memang bagus itu lembab dan bisa bantu pulih skin barier jauh ini moisturizer yang enggak akan ganti lagi,Netral
produk sangat bagus langsung serap dan buat lembab,Netral
sudah repurchase kali produk simple dan efektif packaging juga simple dan aman,Netral
cocok di kulit saya tekstur ringan dan sangat cepat serap di kulit super recommended,Positif
baru pertama kali beli skin game mudah mudah cocok,Negatif
akhir temu moisturizer yang cocok moistnya ringan dan cepat serap aku sudah pakai tube tube bisa pakai bulan lebih gantung pakai,Netral
bagus moga cocok,Netral
baru mau coba moga cocok,Positif
produk orisinal dan aman kakak adminnya juga ramah banget bakal repurchase lagi deh kayak,Positif
kirim dan emas cepat banget aman produk sesuai sudah pernah coba dan lumayan bikin jerawat cepat mateng thankyou,Netral
bau agak aneh apek dan bau besi seperti dari tempat saya pernah pakai sabun lain yang tanpa bau tapi enggak pernah seperti ini jadi kurang nyaman pakai dan sampai sekarang masih ada,Netral
dari dulu selalu jadi langgan untuk solusi kalau lagi jerawat bulan ini betul lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail love you kembali rebu,Netral
barang sampai dengan selamat packagingnya juga aman moga cocok,Positif
baru pertama kali coba moga cocok thank you seller,Positif
barang sampai dengan selamat,Negatif
packing rapi dan aman barang sesuai pesan,Netral
this moisturizer is seriously game changer love how one bottle could last me months,Netral
baru coba pertama kali moga bisa cocok karena reviewnya bagus,Netral
mantap sesuai moga cocok,Netral
tadi mau beli diofflinestore tapi mahal banget pas cek dionline store nya cuma karena dapat potong sama lagi flashsale langsung beli,Positif
terima kasih,Positif
terima kasih,Netral
terima kasih tapi tumben enggak ada gift nya,Netral
tipe kulit minyak masalah kulit jerawat moga cocok sama rangkai ini terima kasih,Netral
telah minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai atau memang enggak cocok,Netral
bagus,Positif
kirim cukup cepat dan barang yang kirim sesuai pesan expired datenya dan,Positif
cocok kulit saya enggak kering atau tarik kirim cepat mantap,Positif
lipstik mudah patah saran kalau pakai jangan ulur terlalu panjang,Positif
barang lengkap packing aman dan rapi belum coba productnya moga cocok tipe kulit normal,Positif
baca review nya bagus mudah juga cocok terima kasih bonus pas banget pas lagi butuh,Positif
cocok kulit belum pakai jerawat biji di pipi agak radang malam kasih besok sudah mending dan kempes,Netral
benar bagus tapi di aku jatuh bikin bibir agak kering walaupun belum pakai lipstick sudah pakai lipbalm warna pigmented banget merah queennya bagus banget,Netral
exp date masih lama kirim juga cepat dapat diskon lumayan lagi thanks somethinc,Positif
moga cocok di kulit yang sensitif ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout,Positif
belum coba moga cocok,Netral
paket aman moga cocok,Positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif masalah kulit jerawat,Netral
kirim cepat packing bagus,Positif
sesuai dengan deskripsi,Positif
ingredients nya bikin penasaran jadi pengin coba jauh ini selalu repurchase produk avo dan selalu cocok aaaa,Positif
kirim lama banget tolong ganti kurir,Negatif
emas oke moga cocok,Positif
ok moga cocok,Netral
bintang karena pertama dikirimin yang expired sedang beli harga normal belum beli sudah chat tanya beda harga normal dan sale sale expired dan normal expired walaupun akhir bisa return dan ganti yang expired tapi proses return nya itu ribet banget utama pihak expedisi sicepat yang tidak segera pick up sampai hari maksud kalau dari awal teliti saya enggak perlu buang waktu untuk urus return nya moga depan makin teliti ya untuk packing sudah aman bagus admin juga responsive thank you,Negatif
packing aman dan expired masih lama,Positif
huhu serum nya sudah datang cepat banget kirim beli dapat harga diskon baru pertama pakai ini moga cocok di muka ku tipe kulit normal,Positif
tipe kulit sensitif,Netral
ini kenapa paket saya di lempar sama kurir ya sudah jelas jelas ada tulis fragile di dus,Negatif
barang sudah sampai baru pertama kali coba moga cocok,Netral
serum baik buat baik skin barier yang rusak pakai serum ini sejak dan hasil jerawat enggak pernah muncul lagi dan kulit jadi enggak pernah rewel lagi please jangan sampai enggak produksi lagi serum ini karena sudah jadi pakai kulit aku,Positif
cari alternatif ingredients yang bisa samar bekas jerawat aku karena enggak cocok sama vit niacin dan alpha arbutin,Netral
dulu sudah pernah pakai dan ngefek banget ke kulit bikin jadi lembab dan enggak beruntus tapi dibarengin sama refining tonernya juga,Positif
pesan tanggal kirim tanggal padahal tanggal sudah harus bawa terbang kecewa karena sudah dua kali dapat layan yang kurang senang padahal produk bagus dan sudah jadi guna tetap avoskin,Negatif
bagus sih produk cocok cuma sedikit kecewa packagingnya kurang aman enggak ada bublewrapnya padahal jalan jauh dari sidoarjo sampai jakarta,Negatif
kirim pakai sicepat tapi sangat lambat sudah ada gudang tanggal baru antar ke rumah tanggal sayang banget enggak sesuai nama,Negatif
paket terima dengan ada baik,Positif
baru pertama pakai moga cocok ya min tipe kulit minyak tipe kulit kombinasi,Netral
fast respon,Positif
nice,Positif
worth the price pcs dapat harga cashback,Netral
thanks ya,Positif
packing aman banget moga cocok,Positif
alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan atas dengan azarine thanks azarine,Positif
repurchased indak bikin kusam affordable,Netral
isi dikit banget sampai bingung ira enggak ada isi,Negatif
ringan di kulit warna pas,Netral
cepat sampai ringan sesuai nama tinted sunscreen tapi masih bisa buat tutup merah aku belum coba shade nina tapi malah jadi kusam dan kuning akhir coba shade butter dan pas,Netral
cepat sampai tekstur agak creamy smugeproof juga loh tapi warna agak kurang pigment,Negatif
tekstur ringan mudah serap kulit sudah ada spf nya jadi kalo pakai daily pun ok walaupun enggak full coverage tapi bisa tutup warna tidak rata muka bakal repurchase ini,Negatif
kirim cepat packing oke thanks,Netral
suka sama warna next order warna lain,Netral
tipe kulit minyak alhamdulillah cocok thanks,Netral
beli serum ini pas dapat harga flash sale lumayan banget diskon packing oke kirim lumayan cepat produk belum coba jadi belum bisa kasih nilai,Positif
jujur buat aku enggak cocok tapi aku gapaham skincare dan cenderung asal beli cuma seperti ini works deh kalo memang cocok tipe kulit feel muka telah pakai agak lengket turut aku jadi enggak bisa tidur miring terus bukan tipe skincare yang kalo kena angin adem muka cuma yaudah salah,Negatif
hasil akhir bagus kayak kulit kita tapi bersih yang sehat,Negatif
