review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
mantap,Positif,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4], mantap,['mantap [4]'],4,-1,positif
bismillah moga cocok,Positif,"{'classified_text': 'bismillah moga cocok [3]', 'tweet_text': ' bismillah moga cocok', 'sentence_score': ['bismillah moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bismillah moga cocok [3], bismillah moga cocok,['bismillah moga cocok [3]'],3,-1,positif
kecewa banget pokok,Negatif,"{'classified_text': 'kecewa [-4] banget pokok', 'tweet_text': ' kecewa banget pokok', 'sentence_score': ['kecewa [-4] banget pokok'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",kecewa [-4] banget pokok, kecewa banget pokok,['kecewa [-4] banget pokok'],1,-4,negatif
kecewa kirim lama wajah jadi breakout enggak tau harus bagaimana lagi enggak erti,Negatif,"{'classified_text': 'kecewa [-3] kirim lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak erti', 'tweet_text': ' kecewa kirim lama wajah jadi breakout enggak tau harus bagaimana lagi enggak erti', 'sentence_score': ['kecewa [-3] kirim lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak erti'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",kecewa [-3] kirim lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak erti, kecewa kirim lama wajah jadi breakout enggak tau harus bagaimana lagi enggak erti,['kecewa [-3] kirim lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak erti'],1,-3,negatif
ok moga cocok,Positif,"{'classified_text': 'ok [1] moga cocok [3]', 'tweet_text': ' ok moga cocok', 'sentence_score': ['ok [1] moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",ok [1] moga cocok [3], ok moga cocok,['ok [1] moga cocok [3]'],3,-1,positif
ok belum coba,Netral,"{'classified_text': 'ok [1] belum coba', 'tweet_text': ' ok belum coba', 'sentence_score': ['ok [1] belum coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",ok [1] belum coba, ok belum coba,['ok [1] belum coba'],1,-1,netral
sudah langgan karena cocok pakai serum ini thanks seller,Positif,"{'classified_text': 'sudah langgan karena cocok [3] pakai serum ini thanks seller', 'tweet_text': ' sudah langgan karena cocok pakai serum ini thanks seller', 'sentence_score': ['sudah langgan karena cocok [3] pakai serum ini thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",sudah langgan karena cocok [3] pakai serum ini thanks seller, sudah langgan karena cocok pakai serum ini thanks seller,['sudah langgan karena cocok [3] pakai serum ini thanks seller'],3,-1,positif
serum benar benar cair banget ini pakai lama hari tapi belum asa banget efek,Netral,"{'classified_text': 'serum benar [4] benar [5] cair banget ini pakai lama [-2] hari tapi belum asa banget efek', 'tweet_text': ' serum benar benar cair banget ini pakai lama hari tapi belum asa banget efek', 'sentence_score': ['serum benar [4] benar [5] cair banget ini pakai lama [-2] hari tapi belum asa banget efek'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",serum benar [4] benar [5] cair banget ini pakai lama [-2] hari tapi belum asa banget efek, serum benar benar cair banget ini pakai lama hari tapi belum asa banget efek,['serum benar [4] benar [5] cair banget ini pakai lama [-2] hari tapi belum asa banget efek'],5,-2,positif
mantap pakai banget tapi jalan kirim lama banget,Netral,"{'classified_text': 'mantap [4] pakai banget tapi jalan kirim lama [-3] banget', 'tweet_text': ' mantap pakai banget tapi jalan kirim lama banget', 'sentence_score': ['mantap [4] pakai banget tapi jalan kirim lama [-3] banget'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",mantap [4] pakai banget tapi jalan kirim lama [-3] banget, mantap pakai banget tapi jalan kirim lama banget,['mantap [4] pakai banget tapi jalan kirim lama [-3] banget'],4,-3,positif
belum coba ngabisin dulu yang lain next bakal review kalo ada hasil,Netral,"{'classified_text': 'belum coba ngabisin dulu yang lain next bakal review kalo ada hasil', 'tweet_text': ' belum coba ngabisin dulu yang lain next bakal review kalo ada hasil', 'sentence_score': ['belum coba ngabisin dulu yang lain next bakal review kalo ada hasil'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",belum coba ngabisin dulu yang lain next bakal review kalo ada hasil, belum coba ngabisin dulu yang lain next bakal review kalo ada hasil,['belum coba ngabisin dulu yang lain next bakal review kalo ada hasil'],1,-1,netral
cocok banget buat oily skin kayak aku,Positif,"{'classified_text': 'cocok [4] banget buat oily skin kayak aku', 'tweet_text': ' cocok banget buat oily skin kayak aku', 'sentence_score': ['cocok [4] banget buat oily skin kayak aku'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cocok [4] banget buat oily skin kayak aku, cocok banget buat oily skin kayak aku,['cocok [4] banget buat oily skin kayak aku'],4,-1,positif
baru sekali pakai sudah rasa halus muka,Positif,"{'classified_text': 'baru sekali pakai sudah rasa halus [3] muka', 'tweet_text': ' baru sekali pakai sudah rasa halus muka', 'sentence_score': ['baru sekali pakai sudah rasa halus [3] muka'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",baru sekali pakai sudah rasa halus [3] muka, baru sekali pakai sudah rasa halus muka,['baru sekali pakai sudah rasa halus [3] muka'],3,-1,positif
barang enggak pernah sampai dari tanggal karena hilang salah anteraja jadi enggak tau harus review apa,Netral,"{'classified_text': 'barang enggak pernah sampai dari tanggal karena hilang [-3] salah [-5] anteraja jadi enggak tau harus review apa', 'tweet_text': ' barang enggak pernah sampai dari tanggal karena hilang salah anteraja jadi enggak tau harus review apa', 'sentence_score': ['barang enggak pernah sampai dari tanggal karena hilang [-3] salah [-5] anteraja jadi enggak tau harus review apa'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",barang enggak pernah sampai dari tanggal karena hilang [-3] salah [-5] anteraja jadi enggak tau harus review apa, barang enggak pernah sampai dari tanggal karena hilang salah anteraja jadi enggak tau harus review apa,['barang enggak pernah sampai dari tanggal karena hilang [-3] salah [-5] anteraja jadi enggak tau harus review apa'],1,-5,negatif
beli ini serta skin care yang lain nya tapitidak pernah terima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa tindak lanjut kecewa banget,Negatif,"{'classified_text': 'beli ini serta skin care yang lain nya tapitidak pernah terima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa tindak lanjut kecewa [-4] banget', 'tweet_text': ' beli ini serta skin care yang lain nya tapitidak pernah terima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa tindak lanjut kecewa banget', 'sentence_score': ['beli ini serta skin care yang lain nya tapitidak pernah terima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa tindak lanjut kecewa [-4] banget'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",beli ini serta skin care yang lain nya tapitidak pernah terima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa tindak lanjut kecewa [-4] banget, beli ini serta skin care yang lain nya tapitidak pernah terima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa tindak lanjut kecewa banget,['beli ini serta skin care yang lain nya tapitidak pernah terima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa tindak lanjut kecewa [-4] banget'],1,-4,negatif
harus dapat free sesuai jam order sudah buru cekout biar enggak habis pesan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang begini,Negatif,"{'classified_text': 'harus dapat free sesuai [3] jam order sudah buru cekout biar enggak habis pesan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang begini', 'tweet_text': ' harus dapat free sesuai jam order sudah buru cekout biar enggak habis pesan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang begini', 'sentence_score': ['harus dapat free sesuai [3] jam order sudah buru cekout biar enggak habis pesan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang begini'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",harus dapat free sesuai [3] jam order sudah buru cekout biar enggak habis pesan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang begini, harus dapat free sesuai jam order sudah buru cekout biar enggak habis pesan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang begini,['harus dapat free sesuai [3] jam order sudah buru cekout biar enggak habis pesan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang begini'],4,-3,positif
melembabkan banget tekstur kental tapi cepat banget nyerepnya,Netral,"{'classified_text': 'melembabkan banget tekstur kental tapi cepat [5] banget nyerepnya', 'tweet_text': ' melembabkan banget tekstur kental tapi cepat banget nyerepnya', 'sentence_score': ['melembabkan banget tekstur kental tapi cepat [5] banget nyerepnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",melembabkan banget tekstur kental tapi cepat [5] banget nyerepnya, melembabkan banget tekstur kental tapi cepat banget nyerepnya,['melembabkan banget tekstur kental tapi cepat [5] banget nyerepnya'],5,-1,positif
packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barang kardus di buka di bagi samping yang enggak di segel tolong next nya packing lebih baik lagi,Negatif,"{'classified_text': 'packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barang kardus di buka di bagi samping yang enggak di segel tolong next nya packing lebih baik [5] lagi', 'tweet_text': ' packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barang kardus di buka di bagi samping yang enggak di segel tolong next nya packing lebih baik lagi', 'sentence_score': ['packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barang kardus di buka di bagi samping yang enggak di segel tolong next nya packing lebih baik [5] lagi'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}",packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barang kardus di buka di bagi samping yang enggak di segel tolong next nya packing lebih baik [5] lagi, packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barang kardus di buka di bagi samping yang enggak di segel tolong next nya packing lebih baik lagi,['packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barang kardus di buka di bagi samping yang enggak di segel tolong next nya packing lebih baik [5] lagi'],5,-5,netral
tipu tidak ada gratis hadiah sarung seperti di gambar,Negatif,"{'classified_text': 'tipu [-4] tidak ada gratis hadiah [3] sarung seperti [1] di gambar', 'tweet_text': ' tipu tidak ada gratis hadiah sarung seperti di gambar', 'sentence_score': ['tipu [-4] tidak ada gratis hadiah [3] sarung seperti [1] di gambar'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tipu [-4] tidak ada gratis hadiah [3] sarung seperti [1] di gambar, tipu tidak ada gratis hadiah sarung seperti di gambar,['tipu [-4] tidak ada gratis hadiah [3] sarung seperti [1] di gambar'],3,-4,negatif
janji expired tahu tapi dapetnya bulan,Negatif,"{'classified_text': 'janji expired tahu tapi dapetnya bulan', 'tweet_text': ' janji expired tahu tapi dapetnya bulan', 'sentence_score': ['janji expired tahu tapi dapetnya bulan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",janji expired tahu tapi dapetnya bulan, janji expired tahu tapi dapetnya bulan,['janji expired tahu tapi dapetnya bulan'],1,-1,netral
pesan masker yang kirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benar kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan sini sibuk apa sempetin video unboxing,Negatif,"{'classified_text': 'pesan masker yang kirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benar [4] kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan sini sibuk [1] apa sempetin video unboxing', 'tweet_text': ' pesan masker yang kirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benar kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan sini sibuk apa sempetin video unboxing', 'sentence_score': ['pesan masker yang kirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benar [4] kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan sini sibuk [1] apa sempetin video unboxing'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",pesan masker yang kirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benar [4] kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan sini sibuk [1] apa sempetin video unboxing, pesan masker yang kirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benar kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan sini sibuk apa sempetin video unboxing,['pesan masker yang kirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benar [4] kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan sini sibuk [1] apa sempetin video unboxing'],4,-4,netral
bahan ringan moga cocok,Positif,"{'classified_text': 'bahan ringan moga cocok [3]', 'tweet_text': ' bahan ringan moga cocok', 'sentence_score': ['bahan ringan moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan moga cocok [3], bahan ringan moga cocok,['bahan ringan moga cocok [3]'],3,-1,positif
tipe kulit minyak,Netral,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak, tipe kulit minyak,['tipe kulit minyak'],1,-1,netral
ringan banget bibir lup lup dah buat azarine,Netral,"{'classified_text': 'ringan banget bibir lup lup dah buat azarine', 'tweet_text': ' ringan banget bibir lup lup dah buat azarine', 'sentence_score': ['ringan banget bibir lup lup dah buat azarine'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",ringan banget bibir lup lup dah buat azarine, ringan banget bibir lup lup dah buat azarine,['ringan banget bibir lup lup dah buat azarine'],1,-1,netral
no review found,Netral,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",no review found, no review found,['no review found'],1,-1,netral
