,Review,Sentimen,Review_norm,review_tokens,review_tokens_stemmed
18,mantab pake banget tp perjalanan pengiriman lam bgt,Netral,mantap pakai banget tapi perjalanan pengiriman lama banget,"['mantap', 'pakai', 'banget', 'tapi', 'perjalanan', 'pengiriman', 'lama', 'banget']","['mantap', 'pakai', 'banget', 'tapi', 'jalan', 'kirim', 'lama', 'banget']"
19,belum dicoba ngabisin dlu yg laen next bakal review klo ada hasilnya,Netral,belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya,"['belum', 'dicoba', 'ngabisin', 'dulu', 'yang', 'lain', 'next', 'bakal', 'review', 'kalo', 'ada', 'hasilnya']","['belum', 'coba', 'ngabisin', 'dulu', 'yang', 'lain', 'next', 'bakal', 'review', 'kalo', 'ada', 'hasil']"
20,cocok bngt buat oily skin kyk aku,Positif,cocok banget buat oily skin kayak aku,"['cocok', 'banget', 'buat', 'oily', 'skin', 'kayak', 'aku']","['cocok', 'banget', 'buat', 'oily', 'skin', 'kayak', 'aku']"
21,baru sekali pake udh kerasa halus dimuka,Positif,baru sekali pakai sudah kerasa halus dimuka,"['baru', 'sekali', 'pakai', 'sudah', 'kerasa', 'halus', 'dimuka']","['baru', 'sekali', 'pakai', 'sudah', 'rasa', 'halus', 'muka']"
22,barangnya gapernah sampe dari tanggal karna ilang kesalahan anteraja jadi gatau harus review apa,Netral,barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa,"['barangnya', 'enggak', 'pernah', 'sampai', 'dari', 'tanggal', 'karena', 'hilang', 'kesalahan', 'anteraja', 'jadi', 'enggak', 'tau', 'harus', 'review', 'apa']","['barang', 'enggak', 'pernah', 'sampai', 'dari', 'tanggal', 'karena', 'hilang', 'salah', 'anteraja', 'jadi', 'enggak', 'tau', 'harus', 'review', 'apa']"
23,beli ini beserta skin care yg lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif,beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,"['beli', 'ini', 'beserta', 'skin', 'care', 'yang', 'lain', 'nya', 'tapitidak', 'pernah', 'menerima', 'sheet', 'mask', 'ini', 'complaint', 'lama', 'banget', 'dan', 'ujung', 'ujung', 'nya', 'tidak', 'bisa', 'ditindak', 'lanjuti', 'kecewa', 'banget']","['beli', 'ini', 'serta', 'skin', 'care', 'yang', 'lain', 'nya', 'tapitidak', 'pernah', 'terima', 'sheet', 'mask', 'ini', 'complaint', 'lama', 'banget', 'dan', 'ujung', 'ujung', 'nya', 'tidak', 'bisa', 'tindak', 'lanjut', 'kecewa', 'banget']"
24,harusnya dpt free sesuai jam ordernya udah buru cekout biar ga habis pesenan  yg dtg cuma produk nya free nya ga dapat asli kecewa dan baru ngalamin yg ginian,Negatif,harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan  yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian,"['harusnya', 'dapat', 'free', 'sesuai', 'jam', 'ordernya', 'sudah', 'buru', 'cekout', 'biar', 'enggak', 'habis', 'pesanan', 'yang', 'datang', 'cuma', 'produk', 'nya', 'free', 'nya', 'enggak', 'dapat', 'asli', 'kecewa', 'dan', 'baru', 'ngalamin', 'yang', 'beginian']","['harus', 'dapat', 'free', 'sesuai', 'jam', 'order', 'sudah', 'buru', 'cekout', 'biar', 'enggak', 'habis', 'pesan', 'yang', 'datang', 'cuma', 'produk', 'nya', 'free', 'nya', 'enggak', 'dapat', 'asli', 'kecewa', 'dan', 'baru', 'ngalamin', 'yang', 'begini']"
25,melembabkan banget teksturnya kental tp cepet banget nyerepnya,Netral,melembabkan banget teksturnya kental tapi cepat banget nyerepnya,"['melembabkan', 'banget', 'teksturnya', 'kental', 'tapi', 'cepat', 'banget', 'nyerepnya']","['melembabkan', 'banget', 'tekstur', 'kental', 'tapi', 'cepat', 'banget', 'nyerepnya']"
26,packaging nya jelek banget ini sih kyk nya ad oknum yg mau ngambil barangnya kardusnya di buka di bagian samping yg ga di segel tolong next nya packing lbh baik lagi,Negatif,packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi,"['packaging', 'nya', 'jelek', 'banget', 'ini', 'sih', 'kayak', 'nya', 'ada', 'oknum', 'yang', 'mau', 'ngambil', 'barangnya', 'kardusnya', 'di', 'buka', 'di', 'bagian', 'samping', 'yang', 'enggak', 'di', 'segel', 'tolong', 'next', 'nya', 'packing', 'lebih', 'baik', 'lagi']","['packaging', 'nya', 'jelek', 'banget', 'ini', 'sih', 'kayak', 'nya', 'ada', 'oknum', 'yang', 'mau', 'ngambil', 'barang', 'kardus', 'di', 'buka', 'di', 'bagi', 'samping', 'yang', 'enggak', 'di', 'segel', 'tolong', 'next', 'nya', 'packing', 'lebih', 'baik', 'lagi']"
27,tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif,tertipu tidak ada gratis hadiah sarung seperti di gambar,"['tertipu', 'tidak', 'ada', 'gratis', 'hadiah', 'sarung', 'seperti', 'di', 'gambar']","['tipu', 'tidak', 'ada', 'gratis', 'hadiah', 'sarung', 'seperti', 'di', 'gambar']"
28,dijanjikan expired th tapi dapetnya bulan,Negatif,dijanjikan expired tahu tapi dapetnya bulan,"['dijanjikan', 'expired', 'tahu', 'tapi', 'dapetnya', 'bulan']","['janji', 'expired', 'tahu', 'tapi', 'dapetnya', 'bulan']"
29,pesen masker yang dikirim my bad ga di video unboxing nya tapi kecewa banget bisa lalai bgt team packing nya please kerja yg fokus dan bener biar customer ga dirugikan begini ga semua orang sempet bikin video unboxing begitu so sorry kasih bintang karna beneran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesen disini sesibuk apapun sempetin video unboxing,Negatif,pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing,"['pesan', 'masker', 'yang', 'dikirim', 'my', 'bad', 'enggak', 'di', 'video', 'unboxing', 'nya', 'tapi', 'kecewa', 'banget', 'bisa', 'lalai', 'banget', 'team', 'packing', 'nya', 'please', 'kerja', 'yang', 'fokus', 'dan', 'benar', 'biar', 'customer', 'enggak', 'dirugikan', 'begini', 'enggak', 'semua', 'orang', 'sempat', 'bikin', 'video', 'unboxing', 'begitu', 'so', 'sorry', 'kasih', 'bintang', 'karena', 'benaran', 'kecewa', 'buat', 'customer', 'yang', 'lain', 'kalo', 'baca', 'ini', 'please', 'be', 'more', 'careful', 'ya', 'kalo', 'pesan', 'disini', 'sesibuk', 'apapun', 'sempetin', 'video', 'unboxing']","['pesan', 'masker', 'yang', 'kirim', 'my', 'bad', 'enggak', 'di', 'video', 'unboxing', 'nya', 'tapi', 'kecewa', 'banget', 'bisa', 'lalai', 'banget', 'team', 'packing', 'nya', 'please', 'kerja', 'yang', 'fokus', 'dan', 'benar', 'biar', 'customer', 'enggak', 'rugi', 'begini', 'enggak', 'semua', 'orang', 'sempat', 'bikin', 'video', 'unboxing', 'begitu', 'so', 'sorry', 'kasih', 'bintang', 'karena', 'benar', 'kecewa', 'buat', 'customer', 'yang', 'lain', 'kalo', 'baca', 'ini', 'please', 'be', 'more', 'careful', 'ya', 'kalo', 'pesan', 'sini', 'sibuk', 'apa', 'sempetin', 'video', 'unboxing']"
30,bahan ringan smg cocok,Positif,bahan ringan semoga cocok,"['bahan', 'ringan', 'semoga', 'cocok']","['bahan', 'ringan', 'moga', 'cocok']"
31,tipe kulitku berminyak,Netral,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']"
32,ringan bgt dibibir lup lup dh bwt azarine,Netral,ringan banget dibibir lup lup dah buat azarine,"['ringan', 'banget', 'dibibir', 'lup', 'lup', 'dah', 'buat', 'azarine']","['ringan', 'banget', 'bibir', 'lup', 'lup', 'dah', 'buat', 'azarine']"
33,no review found,Netral,no review found,"['no', 'review', 'found']","['no', 'review', 'found']"
34,kali ini paket white series yg dtng cmn harusnya udh komplain tpi ngga direspon samsek pantes didalam paket ada kertas cara ngajuin komplain trnyata emng ga beres isinya,Negatif,kali ini paket white series yang datang cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya,"['kali', 'ini', 'paket', 'white', 'series', 'yang', 'datang', 'cuman', 'harusnya', 'sudah', 'komplain', 'tapi', 'enggak', 'direspon', 'sama', 'sekali', 'pantas', 'didalam', 'paket', 'ada', 'kertas', 'cara', 'mengajukan', 'komplain', 'ternyata', 'memang', 'enggak', 'beres', 'isinya']","['kali', 'ini', 'paket', 'white', 'series', 'yang', 'datang', 'cuman', 'harus', 'sudah', 'komplain', 'tapi', 'enggak', 'direspon', 'sama', 'sekali', 'pantas', 'dalam', 'paket', 'ada', 'kertas', 'cara', 'aju', 'komplain', 'nyata', 'memang', 'enggak', 'beres', 'isi']"
35,tidak sampai barang nya,Negatif,tidak sampai barang nya,"['tidak', 'sampai', 'barang', 'nya']","['tidak', 'sampai', 'barang', 'nya']"
36,bikin bruntusan yg geleuh muka jadi keliatan dan kerasa kotor bgt ewh udh pake sunscreen dan toner yg soft light gitu no deh bener kata org ini buat kulit sensitif dan kering jangan pake akhirnya buat tangan dan area tubuh yg gelap aja deh,Negatif,bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap saja deh,"['bikin', 'bruntusan', 'yang', 'geleuh', 'muka', 'jadi', 'kelihatan', 'dan', 'kerasa', 'kotor', 'banget', 'ewh', 'sudah', 'pakai', 'sunscreen', 'dan', 'toner', 'yang', 'soft', 'light', 'begitu', 'no', 'deh', 'benar', 'kata', 'orang', 'ini', 'buat', 'kulit', 'sensitif', 'dan', 'kering', 'jangan', 'pakai', 'akhirnya', 'buat', 'tangan', 'dan', 'area', 'tubuh', 'yang', 'gelap', 'saja', 'deh']","['bikin', 'bruntusan', 'yang', 'geleuh', 'muka', 'jadi', 'lihat', 'dan', 'rasa', 'kotor', 'banget', 'ewh', 'sudah', 'pakai', 'sunscreen', 'dan', 'toner', 'yang', 'soft', 'light', 'begitu', 'no', 'deh', 'benar', 'kata', 'orang', 'ini', 'buat', 'kulit', 'sensitif', 'dan', 'kering', 'jangan', 'pakai', 'akhir', 'buat', 'tangan', 'dan', 'area', 'tubuh', 'yang', 'gelap', 'saja', 'deh']"
37,serumnya ga dikirim,Negatif,serumnya enggak dikirim,"['serumnya', 'enggak', 'dikirim']","['serum', 'enggak', 'kirim']"
38,baru pertama coba dan udah dipake beberapa hari sunscreennya bagus banget cocok buat acne face kuu ga lengket sama sekali,Positif,baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,"['baru', 'pertama', 'coba', 'dan', 'sudah', 'dipakai', 'beberapa', 'hari', 'sunscreennya', 'bagus', 'banget', 'cocok', 'buat', 'acne', 'face', 'ku', 'enggak', 'lengket', 'sama', 'sekali']","['baru', 'pertama', 'coba', 'dan', 'sudah', 'pakai', 'beberapa', 'hari', 'sunscreennya', 'bagus', 'banget', 'cocok', 'buat', 'acne', 'face', 'ku', 'enggak', 'lengket', 'sama', 'sekali']"
39,love banget makasih azarine tadinya beli karena dapet pc tapi ternyata emang bagus banget velvety lippie cream nyaa dan walau ga cocok warm tone ini bagus banget di akuu,Positif,love banget terima kasih azarine tadinya beli karena dapat pc tapi ternyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku,"['love', 'banget', 'terima', 'kasih', 'azarine', 'tadinya', 'beli', 'karena', 'dapat', 'pc', 'tapi', 'ternyata', 'memang', 'bagus', 'banget', 'velvety', 'lippie', 'cream', 'nya', 'dan', 'walau', 'enggak', 'cocok', 'warm', 'tone', 'ini', 'bagus', 'banget', 'di', 'aku']","['love', 'banget', 'terima', 'kasih', 'azarine', 'tadi', 'beli', 'karena', 'dapat', 'pc', 'tapi', 'nyata', 'memang', 'bagus', 'banget', 'velvety', 'lippie', 'cream', 'nya', 'dan', 'walau', 'enggak', 'cocok', 'warm', 'tone', 'ini', 'bagus', 'banget', 'di', 'aku']"
40,pertama kali coba elum tau si,Netral,pertama kali coba belum tau sih,"['pertama', 'kali', 'coba', 'belum', 'tau', 'sih']","['pertama', 'kali', 'coba', 'belum', 'tau', 'sih']"
41,realpict sukses selalu seller,Positif,realpict sukses selalu seller,"['realpict', 'sukses', 'selalu', 'seller']","['realpict', 'sukses', 'selalu', 'seller']"
42,smuaa ok cuma ky nya kulitku yg ga cocok sm sunscreennya ngerasa lengket bgt makenya so sorry,Netral,semua ok cuma kaya nya kulitku yang enggak cocok sama sunscreennya merasa lengket banget makenya so sorry,"['semua', 'ok', 'cuma', 'kaya', 'nya', 'kulitku', 'yang', 'enggak', 'cocok', 'sama', 'sunscreennya', 'merasa', 'lengket', 'banget', 'makenya', 'so', 'sorry']","['semua', 'ok', 'cuma', 'kaya', 'nya', 'kulit', 'yang', 'enggak', 'cocok', 'sama', 'sunscreennya', 'rasa', 'lengket', 'banget', 'makenya', 'so', 'sorry']"
43,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,Positif,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,"['baru', 'pertama', 'coba', 'semoga', 'cocok', 'pengemasan', 'cepat', 'dan', 'aman', 'pengiriman', 'cepat']","['baru', 'pertama', 'coba', 'moga', 'cocok', 'emas', 'cepat', 'dan', 'aman', 'kirim', 'cepat']"
44,saya pesen dua paket twin pack dan lg yg ini harusanya saya terima produk tp saya hanya terima saya tidak sempat melakukan video unboxing jd td bisa klaim mohon untuk setelahnya lbh berhati dan memperhatikan produk yg akan dikirim apa sudah sesuai dgn pesanan atau blm,Negatif,saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum,"['saya', 'pesan', 'dua', 'paket', 'twin', 'pack', 'dan', 'lagi', 'yang', 'ini', 'harusanya', 'saya', 'terima', 'produk', 'tapi', 'saya', 'hanya', 'terima', 'saya', 'tidak', 'sempat', 'melakukan', 'video', 'unboxing', 'jadi', 'tadi', 'bisa', 'klaim', 'mohon', 'untuk', 'setelahnya', 'lebih', 'berhati', 'dan', 'memperhatikan', 'produk', 'yang', 'akan', 'dikirim', 'apa', 'sudah', 'sesuai', 'dengan', 'pesanan', 'atau', 'belum']","['saya', 'pesan', 'dua', 'paket', 'twin', 'pack', 'dan', 'lagi', 'yang', 'ini', 'harusanya', 'saya', 'terima', 'produk', 'tapi', 'saya', 'hanya', 'terima', 'saya', 'tidak', 'sempat', 'laku', 'video', 'unboxing', 'jadi', 'tadi', 'bisa', 'klaim', 'mohon', 'untuk', 'telah', 'lebih', 'hati', 'dan', 'perhati', 'produk', 'yang', 'akan', 'kirim', 'apa', 'sudah', 'sesuai', 'dengan', 'pesan', 'atau', 'belum']"
45,pelayanan admin nya jelek,Negatif,pelayanan admin nya jelek,"['pelayanan', 'admin', 'nya', 'jelek']","['layan', 'admin', 'nya', 'jelek']"
