,Review,Sentimen,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
10,mantap,Positif,mantap,['mantap'],['mantap'],['mantap']
11,bismillah smga cocok,Positif,bismillah semoga cocok,"['bismillah', 'semoga', 'cocok']","['bismillah', 'semoga', 'cocok']","['bismillah', 'moga', 'cocok']"
12,kecewa banget pokoknya,Negatif,kecewa banget pokoknya,"['kecewa', 'banget', 'pokoknya']","['kecewa', 'banget', 'pokoknya']","['kecewa', 'banget', 'pokok']"
13,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti,Negatif,kecewaaaaa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,"['kecewaaaaa', 'pengiriman', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'harus', 'bagaimana', 'lagi', 'enggak', 'mengerti']","['kecewaaaaa', 'pengiriman', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'bagaimana', 'enggak', 'mengerti']","['kecewaaaaa', 'kirim', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'bagaimana', 'enggak', 'erti']"
14,ok smoga cocok,Positif,ok semoga cocok,"['ok', 'semoga', 'cocok']","['semoga', 'cocok']","['moga', 'cocok']"
15,ok blom dcobain,Netral,ok belum dicoba,"['ok', 'belum', 'dicoba']","['belum', 'dicoba']","['belum', 'coba']"
16,udah langganan karna cocok pakai serum ini thanks seller,Positif,sudah langganan karena cocok pakai serum ini thanks seller,"['sudah', 'langganan', 'karena', 'cocok', 'pakai', 'serum', 'ini', 'thanks', 'seller']","['langganan', 'cocok', 'pakai', 'serum', 'thanks', 'seller']","['langgan', 'cocok', 'pakai', 'serum', 'thanks', 'seller']"
17,serumnya bener bener cair banget ini pemakaian selama hari tapi belum berasa bangt efeknya,Netral,serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya,"['serumnya', 'benar', 'benar', 'cair', 'banget', 'ini', 'pemakaian', 'selama', 'hari', 'tapi', 'belum', 'berasa', 'banget', 'efeknya']","['serumnya', 'benar', 'benar', 'cair', 'banget', 'pemakaian', 'selama', 'hari', 'belum', 'berasa', 'banget', 'efeknya']","['serum', 'benar', 'benar', 'cair', 'banget', 'pakai', 'lama', 'hari', 'belum', 'asa', 'banget', 'efek']"
18,mantab pake banget tp perjalanan pengiriman lam bgt,Netral,mantap pakai banget tapi perjalanan pengiriman lama banget,"['mantap', 'pakai', 'banget', 'tapi', 'perjalanan', 'pengiriman', 'lama', 'banget']","['mantap', 'pakai', 'banget', 'perjalanan', 'pengiriman', 'lama', 'banget']","['mantap', 'pakai', 'banget', 'jalan', 'kirim', 'lama', 'banget']"
19,belum dicoba ngabisin dlu yg laen next bakal review klo ada hasilnya,Netral,belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya,"['belum', 'dicoba', 'ngabisin', 'dulu', 'yang', 'lain', 'next', 'bakal', 'review', 'kalo', 'ada', 'hasilnya']","['belum', 'dicoba', 'ngabisin', 'dulu', 'next', 'bakal', 'review', 'kalo', 'hasilnya']","['belum', 'coba', 'ngabisin', 'dulu', 'next', 'bakal', 'review', 'kalo', 'hasil']"
20,cocok bngt buat oily skin kyk aku,Positif,cocok banget buat oily skin kayak aku,"['cocok', 'banget', 'buat', 'oily', 'skin', 'kayak', 'aku']","['cocok', 'banget', 'buat', 'oily', 'skin', 'kayak', 'aku']","['cocok', 'banget', 'buat', 'oily', 'skin', 'kayak', 'aku']"
21,baru sekali pake udh kerasa halus dimuka,Positif,baru sekali pakai sudah kerasa halus dimuka,"['baru', 'sekali', 'pakai', 'sudah', 'kerasa', 'halus', 'dimuka']","['baru', 'sekali', 'pakai', 'kerasa', 'halus', 'dimuka']","['baru', 'sekali', 'pakai', 'rasa', 'halus', 'muka']"
22,barangnya gapernah sampe dari tanggal karna ilang kesalahan anteraja jadi gatau harus review apa,Netral,barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa,"['barangnya', 'enggak', 'pernah', 'sampai', 'dari', 'tanggal', 'karena', 'hilang', 'kesalahan', 'anteraja', 'jadi', 'enggak', 'tau', 'harus', 'review', 'apa']","['barangnya', 'enggak', 'pernah', 'tanggal', 'hilang', 'kesalahan', 'anteraja', 'jadi', 'enggak', 'tau', 'review', 'apa']","['barang', 'enggak', 'pernah', 'tanggal', 'hilang', 'salah', 'anteraja', 'jadi', 'enggak', 'tau', 'review', 'apa']"
23,beli ini beserta skin care yg lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif,beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,"['beli', 'ini', 'beserta', 'skin', 'care', 'yang', 'lain', 'nya', 'tapitidak', 'pernah', 'menerima', 'sheet', 'mask', 'ini', 'complaint', 'lama', 'banget', 'dan', 'ujung', 'ujung', 'nya', 'tidak', 'bisa', 'ditindak', 'lanjuti', 'kecewa', 'banget']","['beli', 'beserta', 'skin', 'care', 'nya', 'tapitidak', 'pernah', 'menerima', 'sheet', 'mask', 'complaint', 'lama', 'banget', 'ujung', 'ujung', 'nya', 'tidak', 'ditindak', 'lanjuti', 'kecewa', 'banget']","['beli', 'serta', 'skin', 'care', 'nya', 'tapitidak', 'pernah', 'terima', 'sheet', 'mask', 'complaint', 'lama', 'banget', 'ujung', 'ujung', 'nya', 'tidak', 'tindak', 'lanjut', 'kecewa', 'banget']"
24,harusnya dpt free sesuai jam ordernya udah buru cekout biar ga habis pesenan  yg dtg cuma produk nya free nya ga dapat asli kecewa dan baru ngalamin yg ginian,Negatif,harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan  yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian,"['harusnya', 'dapat', 'free', 'sesuai', 'jam', 'ordernya', 'sudah', 'buru', 'cekout', 'biar', 'enggak', 'habis', 'pesanan', 'yang', 'datang', 'cuma', 'produk', 'nya', 'free', 'nya', 'enggak', 'dapat', 'asli', 'kecewa', 'dan', 'baru', 'ngalamin', 'yang', 'beginian']","['harusnya', 'free', 'sesuai', 'jam', 'ordernya', 'buru', 'cekout', 'biar', 'enggak', 'habis', 'pesanan', 'datang', 'cuma', 'produk', 'nya', 'free', 'nya', 'enggak', 'asli', 'kecewa', 'baru', 'ngalamin', 'beginian']","['harus', 'free', 'sesuai', 'jam', 'order', 'buru', 'cekout', 'biar', 'enggak', 'habis', 'pesan', 'datang', 'cuma', 'produk', 'nya', 'free', 'nya', 'enggak', 'asli', 'kecewa', 'baru', 'ngalamin', 'begini']"
25,melembabkan banget teksturnya kental tp cepet banget nyerepnya,Netral,melembabkan banget teksturnya kental tapi cepat banget nyerepnya,"['melembabkan', 'banget', 'teksturnya', 'kental', 'tapi', 'cepat', 'banget', 'nyerepnya']","['melembabkan', 'banget', 'teksturnya', 'kental', 'cepat', 'banget', 'nyerepnya']","['melembabkan', 'banget', 'tekstur', 'kental', 'cepat', 'banget', 'nyerepnya']"
26,packaging nya jelek banget ini sih kyk nya ad oknum yg mau ngambil barangnya kardusnya di buka di bagian samping yg ga di segel tolong next nya packing lbh baik lagi,Negatif,packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi,"['packaging', 'nya', 'jelek', 'banget', 'ini', 'sih', 'kayak', 'nya', 'ada', 'oknum', 'yang', 'mau', 'ngambil', 'barangnya', 'kardusnya', 'di', 'buka', 'di', 'bagian', 'samping', 'yang', 'enggak', 'di', 'segel', 'tolong', 'next', 'nya', 'packing', 'lebih', 'baik', 'lagi']","['packaging', 'nya', 'jelek', 'banget', 'sih', 'kayak', 'nya', 'oknum', 'mau', 'ngambil', 'barangnya', 'kardusnya', 'buka', 'bagian', 'samping', 'enggak', 'segel', 'next', 'nya', 'packing', 'lebih', 'baik']","['packaging', 'nya', 'jelek', 'banget', 'sih', 'kayak', 'nya', 'oknum', 'mau', 'ngambil', 'barang', 'kardus', 'buka', 'bagi', 'samping', 'enggak', 'segel', 'next', 'nya', 'packing', 'lebih', 'baik']"
27,tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif,tertipu tidak ada gratis hadiah sarung seperti di gambar,"['tertipu', 'tidak', 'ada', 'gratis', 'hadiah', 'sarung', 'seperti', 'di', 'gambar']","['tertipu', 'tidak', 'gratis', 'hadiah', 'sarung', 'gambar']","['tipu', 'tidak', 'gratis', 'hadiah', 'sarung', 'gambar']"
28,dijanjikan expired th tapi dapetnyabulan,Negatif,dijanjikan expired tahu tapi dapetnyabulan,"['dijanjikan', 'expired', 'tahu', 'tapi', 'dapetnyabulan']","['dijanjikan', 'expired', 'tahu', 'dapetnyabulan']","['janji', 'expired', 'tahu', 'dapetnyabulan']"
29,pesen masker yang dikirim my bad ga di video unboxing nya tapi kecewa banget bisa lalai bgt team packing nya please kerja yg fokus dan bener biar customer ga dirugikan begini ga semua orang sempet bikin video unboxing begitu so sorry kasih bintang karna beneran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesen disini sesibuk apapun sempetin video unboxing,Negatif,pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing,"['pesan', 'masker', 'yang', 'dikirim', 'my', 'bad', 'enggak', 'di', 'video', 'unboxing', 'nya', 'tapi', 'kecewa', 'banget', 'bisa', 'lalai', 'banget', 'team', 'packing', 'nya', 'please', 'kerja', 'yang', 'fokus', 'dan', 'benar', 'biar', 'customer', 'enggak', 'dirugikan', 'begini', 'enggak', 'semua', 'orang', 'sempat', 'bikin', 'video', 'unboxing', 'begitu', 'so', 'sorry', 'kasih', 'bintang', 'karena', 'benaran', 'kecewa', 'buat', 'customer', 'yang', 'lain', 'kalo', 'baca', 'ini', 'please', 'be', 'more', 'careful', 'ya', 'kalo', 'pesan', 'disini', 'sesibuk', 'apapun', 'sempetin', 'video', 'unboxing']","['pesan', 'masker', 'dikirim', 'my', 'bad', 'enggak', 'video', 'unboxing', 'nya', 'kecewa', 'banget', 'lalai', 'banget', 'team', 'packing', 'nya', 'please', 'kerja', 'fokus', 'benar', 'biar', 'customer', 'enggak', 'dirugikan', 'begini', 'enggak', 'semua', 'orang', 'sempat', 'bikin', 'video', 'unboxing', 'so', 'sorry', 'kasih', 'bintang', 'benaran', 'kecewa', 'buat', 'customer', 'kalo', 'baca', 'please', 'be', 'more', 'careful', 'kalo', 'pesan', 'disini', 'sesibuk', 'apapun', 'sempetin', 'video', 'unboxing']","['pesan', 'masker', 'kirim', 'my', 'bad', 'enggak', 'video', 'unboxing', 'nya', 'kecewa', 'banget', 'lalai', 'banget', 'team', 'packing', 'nya', 'please', 'kerja', 'fokus', 'benar', 'biar', 'customer', 'enggak', 'rugi', 'begini', 'enggak', 'semua', 'orang', 'sempat', 'bikin', 'video', 'unboxing', 'so', 'sorry', 'kasih', 'bintang', 'benar', 'kecewa', 'buat', 'customer', 'kalo', 'baca', 'please', 'be', 'more', 'careful', 'kalo', 'pesan', 'sini', 'sibuk', 'apa', 'sempetin', 'video', 'unboxing']"
30,bahan ringan smg cocok,Positif,bahan ringan semoga cocok,"['bahan', 'ringan', 'semoga', 'cocok']","['bahan', 'ringan', 'semoga', 'cocok']","['bahan', 'ringan', 'moga', 'cocok']"
31,tipe kulitku berminyak,Netral,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']"
32,ringan bgt dibibir lup lup dh bwt azarine,Netral,ringan banget dibibir lup lup dah buat azarine,"['ringan', 'banget', 'dibibir', 'lup', 'lup', 'dah', 'buat', 'azarine']","['ringan', 'banget', 'dibibir', 'lup', 'lup', 'dah', 'buat', 'azarine']","['ringan', 'banget', 'bibir', 'lup', 'lup', 'dah', 'buat', 'azarine']"
33,no review found,Netral,no review found,"['no', 'review', 'found']","['no', 'review', 'found']","['no', 'review', 'found']"
34,kali ini paket white series yg dtng cmn harusnya udh komplain tpi ngga direspon samsek pantes didalam paket ada kertas cara ngajuin komplain trnyata emng ga beres isinya,Negatif,kali ini paket white series yang dtng cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya,"['kali', 'ini', 'paket', 'white', 'series', 'yang', 'dtng', 'cuman', 'harusnya', 'sudah', 'komplain', 'tapi', 'enggak', 'direspon', 'sama', 'sekali', 'pantas', 'didalam', 'paket', 'ada', 'kertas', 'cara', 'mengajukan', 'komplain', 'ternyata', 'memang', 'enggak', 'beres', 'isinya']","['kali', 'paket', 'white', 'series', 'dtng', 'cuman', 'harusnya', 'komplain', 'enggak', 'direspon', 'sama', 'sekali', 'pantas', 'didalam', 'paket', 'kertas', 'cara', 'mengajukan', 'komplain', 'ternyata', 'memang', 'enggak', 'beres', 'isinya']","['kali', 'paket', 'white', 'series', 'dtng', 'cuman', 'harus', 'komplain', 'enggak', 'direspon', 'sama', 'sekali', 'pantas', 'dalam', 'paket', 'kertas', 'cara', 'aju', 'komplain', 'nyata', 'memang', 'enggak', 'beres', 'isi']"
35,tidak sampai barang nya,Negatif,tidak sampai barang nya,"['tidak', 'sampai', 'barang', 'nya']","['tidak', 'barang', 'nya']","['tidak', 'barang', 'nya']"
36,bikin bruntusan yg geleuh muka jadi keliatan dan kerasa kotor bgt ewh udh pake sunscreen dan toner yg soft light gitu no deh bener kata org ini buat kulit sensitif dan kering jangan pake akhirnya buat tangan dan area tubuh yg gelap aja deh,Negatif,bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap saja deh,"['bikin', 'bruntusan', 'yang', 'geleuh', 'muka', 'jadi', 'kelihatan', 'dan', 'kerasa', 'kotor', 'banget', 'ewh', 'sudah', 'pakai', 'sunscreen', 'dan', 'toner', 'yang', 'soft', 'light', 'begitu', 'no', 'deh', 'benar', 'kata', 'orang', 'ini', 'buat', 'kulit', 'sensitif', 'dan', 'kering', 'jangan', 'pakai', 'akhirnya', 'buat', 'tangan', 'dan', 'area', 'tubuh', 'yang', 'gelap', 'saja', 'deh']","['bikin', 'bruntusan', 'geleuh', 'muka', 'jadi', 'kelihatan', 'kerasa', 'kotor', 'banget', 'ewh', 'pakai', 'sunscreen', 'toner', 'soft', 'light', 'no', 'deh', 'benar', 'kata', 'orang', 'buat', 'kulit', 'sensitif', 'kering', 'jangan', 'pakai', 'akhirnya', 'buat', 'tangan', 'area', 'tubuh', 'gelap', 'deh']","['bikin', 'bruntusan', 'geleuh', 'muka', 'jadi', 'lihat', 'rasa', 'kotor', 'banget', 'ewh', 'pakai', 'sunscreen', 'toner', 'soft', 'light', 'no', 'deh', 'benar', 'kata', 'orang', 'buat', 'kulit', 'sensitif', 'kering', 'jangan', 'pakai', 'akhir', 'buat', 'tangan', 'area', 'tubuh', 'gelap', 'deh']"
37,serumnya ga dikirim,Negatif,serumnya enggak dikirim,"['serumnya', 'enggak', 'dikirim']","['serumnya', 'enggak', 'dikirim']","['serum', 'enggak', 'kirim']"
38,baru pertama coba dan udah dipake beberapa hari sunscreennya bagus banget cocok buat acne face kuu ga lengket sama sekali,Positif,baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,"['baru', 'pertama', 'coba', 'dan', 'sudah', 'dipakai', 'beberapa', 'hari', 'sunscreennya', 'bagus', 'banget', 'cocok', 'buat', 'acne', 'face', 'ku', 'enggak', 'lengket', 'sama', 'sekali']","['baru', 'pertama', 'coba', 'dipakai', 'beberapa', 'hari', 'sunscreennya', 'bagus', 'banget', 'cocok', 'buat', 'acne', 'face', 'ku', 'enggak', 'lengket', 'sama', 'sekali']","['baru', 'pertama', 'coba', 'pakai', 'beberapa', 'hari', 'sunscreennya', 'bagus', 'banget', 'cocok', 'buat', 'acne', 'face', 'ku', 'enggak', 'lengket', 'sama', 'sekali']"
