No,Data Ulasan,Sentimen
61,baru pertama kali beli skin game mudah mudahan cocok,Negatif
62,akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya,Netral
63,baguss semoga cocok,Netral
64,baru mau dicoba semoga cocok,Positif
65,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif
66,pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral
67,baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada,Netral
68,dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu,Netral
69,barang sampai dgn selamat packagingnya jg aman semoga cocok,Positif
70,warna nya kuning entah karena apa,Netral
71,baru pertama kali coba semoga cocok thank you seller,Positif
72,barang sampai dgn selamat,Negatif
73,packing rapi dan aman barang sesuai pesenan,Netral
74,this moisturizer is seriously  game changer  love how one bottle could last me months,Netral
75,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus,Netral
76,mantap sesuaiii semoga cocok,Netral
77,tadinya mau beli diofflinestore tp mahal bgt  pas cek dionline store nya cuma  karena dpt potongan sm lg flashsale langsung beli,Positif
78,makasiihh,Positif
79,makasih,Netral
80,makasiihh tp tumben ga ada gift nya,Netral
81,tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian ini terimakasih,Netral
82,stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,Netral
83,bagus,Positif
84,pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan expired datenya dan,Positif
85,cocok dikulit saya ngak kering atau ketarik pengiriman cepet mantull,Positif
86,lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif
87,barang lengkap packing aman dan rapi belum coba productnya semoga cocok tipe kulitku normal,Positif
88,bacanya review nya bagus mudahan jg cocok terima kasih bonusnya pas banget pas lagi butuh,Positif
89,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya udh mendingan dan kempes,Netral
90,sebenarnya bagus tapi di aq jatuhnya bikin bibir agak kering walaupun sebelum pake lipstick udh pakai lipbalm warnanya pigmented bgt merah queennya bagus bgt,Netral
91,exp date msh lama pengirimannya jg cepat dapet diskonnya lumayan lagi thanks somethinc,Positif
92,semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout,Positif
93,belum dicoba smg cocok,Netral
94,tipe kulitku kombinasi,Netral
95,sesuai deskripsi,Positif
96,paket aman semoga cocok,Positif
97,masalah kulitku pori besar,Netral
98,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral
99,kiriman cepat packing bagus,Positif
100,sesuai dengan deskripsi,Positif
101,ingredients nya bikin penasaran jd pengen cobain sejauh ini selalu repurchase produk avo dan selalu cocok aaaa,Positif
102,pengirimannya lama bgt tolong diganti kurirny,Negatif
103,pengemasan okeyy semoga cocok,Positif
104,ok semoga cocok,Netral
105,bintang karena pertamanya dikirimin yg expired sedangkan pembelian harga normal sebelum beli sudah chat tanya perbedaan harga normal dan sale sale expired dan normal expired walaupun akhirnya bisa return dan ganti yg expired tp proses return nya itu ribet bgt terutama pihak expedisi sicepat yg tdk segera pick up sampai hari maksudnya kalau dr awal teliti saya ga perlu buang waktu untuk ngurusin return nya semoga kedepannya makin teliti yaa untuk packing sudah aman bagus admin juga responsive thank you,Negatif
106,packing aman dan expired masih lama,Positif
107,huhu serum nya udah dateng cepet banget pengiriman beli dapet harga diskon baru pertama pakai ini semoga cocok di muka ku tipe kulitku normal,Positif
108,tipe kulitku sensitif,Netral
109,ini kenapa paket saya di lempar sama kurir ya ud jelas jelas ada tulisan fragile di dusnya,Negatif
110,barang sudah sampai baru pertama kali mencoba semoga cocok,Netral
111,serum terbaik buat memperbaiki skin barier yg rusak pake serum ini sejak dan hasilnya jerawatku ga pernah muncul lagi dan kulitku jd ga pernah rewel lagi please jangan sampe ga produksi lagi serum ini karena udah jd pk kulit aku,Positif
112,mencari alternatif ingredients yang bisa menyamarkan bekas jerawat aku karena ga cocok sama vit  niacin dan alpha arbutin,Netral
113,dulu udh pernah make dan ngefek bgt ke kulit bikin jd lembab dan gak beruntusan tp dibarengin sm refining tonernya jg,Positif
114,pesan tanggal dikirim tanggal padahal tgl sdh harus dibawa terbang kecewa karena sdh dua kali mendapatkan pelayanan yg kurang menyenangkan padahal produk bagus dan sdh menjadi pengguna tetap avoskin,Negatif
115,bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta,Negatif
116,pengirimannya pake sicepat tapi sangat lambat  udh ada  gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama,Negatif
117,paket diterima dengan keadaan baik,Positif
118,baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi,Netral
119,fast respon,Positif
120,niceeeee,Positif
121,worth the price pcs dapat harga  cashback ,Netral
122,thx ya,Positif
123,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif
124,packing aman banget semoga cocok,Positif
125,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,Positif
126,repurchased nda bikin kusam affordable,Netral
127,barang bagus sesuai packing mantap terima kasih,Positif
128,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Positif
129,produk sangat bangus langsung menyerap dan membuat lembab,Positif
130,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Positif
131,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif
132,baru pertama kali beli skin game mudah mudahan cocok,Negatif
133,akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya,Negatif
134,baguss semoga cocok,Positif
135,baru mau dicoba semoga cocok,Positif
136,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif
137,pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral
138,baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada,Negatif
139,dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu,Netral
140,isinya dikit banget sampe bingung kirain ga ada isinya,Negatif
141,ringan di kulit warna pas,Netral
142,cepet nyampenyaa ringan sesuai namanya tinted sunscreen tapi masih bisa buat nutupin kemerahan aku sebelumnya nyoba shade nina tapi malah jadi kusem dan kuning akhirnya nyoba shade butter dan pass,Netral
143,cepet nyampenyaa teksturnya agak creamy smugeproof juga lohh tp warnanya agak kurang pigment,Negatif
144,teksturnya ringan mudah menyerap kulit udh ada spf nya jd kl dipake daily pun ok wlwpn ga full coverage tp bisa menutupi warna tdk merata dimuka bakalan repurchase ini,Negatif
145,pengiriman cepat packing oke thanks,Netral
146,suka sm warnanya next order warna lain,Netral
147,tipe kulitku berminyak alhamdulillah cocok thanks,Netral
148,beli serum ini pas dapet harga flash sale lumayan banget diskonnya packing oke pengiriman lumayan cepat produknya belum dicoba jadi belum bisa kasi nilai,Positif
149,jujur buat aku gak cocok tapi aku gapaham skincare dan cenderung asal beli cuma sepertinya ini works deh kalo emanh cocok tipe kulitnya feel dimukanya setelah dipake agak lengket menurut aku jadi gabisa tidur miring trus bukan tipe skincare yang kalo kena angin adem mukanya cuma yaudah salahku,Negatif
150,hasil akhir bagus kaya kulit kita tapi bersi yg sehat,Negatif
