review_tokens_stemmed,Sentimen,sentimen
cocok banget buat oily skin kayak aku,Positif,"{'classified_text': 'cocok [4] banget buat oily skin kayak aku', 'tweet_text': ' cocok banget buat oily skin kayak aku', 'sentence_score': ['cocok [4] banget buat oily skin kayak aku'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru sekali pakai rasa halus muka,Positif,"{'classified_text': 'baru sekali pakai rasa halus [3] muka', 'tweet_text': ' baru sekali pakai rasa halus muka', 'sentence_score': ['baru sekali pakai rasa halus [3] muka'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang enggak pernah tanggal hilang salah anteraja jadi enggak tau review apa,Netral,"{'classified_text': 'barang enggak pernah tanggal hilang [-3] salah [-5] anteraja jadi enggak tau review apa', 'tweet_text': ' barang enggak pernah tanggal hilang salah anteraja jadi enggak tau review apa', 'sentence_score': ['barang enggak pernah tanggal hilang [-3] salah [-5] anteraja jadi enggak tau review apa'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
beli serta skin care nya tapitidak pernah terima sheet mask complaint lama banget ujung ujung nya tidak tindak lanjut kecewa banget,Negatif,"{'classified_text': 'beli serta skin care nya tapitidak pernah terima sheet mask complaint lama [-3] banget ujung ujung nya tidak tindak lanjut kecewa [-4] banget', 'tweet_text': ' beli serta skin care nya tapitidak pernah terima sheet mask complaint lama banget ujung ujung nya tidak tindak lanjut kecewa banget', 'sentence_score': ['beli serta skin care nya tapitidak pernah terima sheet mask complaint lama [-3] banget ujung ujung nya tidak tindak lanjut kecewa [-4] banget'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
harus free sesuai jam order buru cekout biar enggak habis pesan datang cuma produk nya free nya enggak asli kecewa baru ngalamin begini,Negatif,"{'classified_text': 'harus free sesuai [3] jam order buru cekout biar enggak habis pesan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin begini', 'tweet_text': ' harus free sesuai jam order buru cekout biar enggak habis pesan datang cuma produk nya free nya enggak asli kecewa baru ngalamin begini', 'sentence_score': ['harus free sesuai [3] jam order buru cekout biar enggak habis pesan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin begini'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
melembabkan banget tekstur kental cepat banget nyerepnya,Netral,"{'classified_text': 'melembabkan banget tekstur kental cepat [5] banget nyerepnya', 'tweet_text': ' melembabkan banget tekstur kental cepat banget nyerepnya', 'sentence_score': ['melembabkan banget tekstur kental cepat [5] banget nyerepnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
packaging nya jelek banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik,Negatif,"{'classified_text': 'packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik [5]', 'tweet_text': ' packaging nya jelek banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik', 'sentence_score': ['packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik [5]'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}"
tipu tidak gratis hadiah sarung gambar,Negatif,"{'classified_text': 'tipu [-4] tidak gratis hadiah [3] sarung gambar', 'tweet_text': ' tipu tidak gratis hadiah sarung gambar', 'sentence_score': ['tipu [-4] tidak gratis hadiah [3] sarung gambar'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
janji expired tahu dapetnyabulan,Negatif,"{'classified_text': 'janji expired tahu dapetnyabulan', 'tweet_text': ' janji expired tahu dapetnyabulan', 'sentence_score': ['janji expired tahu dapetnyabulan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pesan masker kirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar kecewa buat customer kalo baca please be more careful kalo pesan sini sibuk apa sempetin video unboxing,Negatif,"{'classified_text': 'pesan masker kirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar [4] kecewa [-3] buat customer kalo baca please be more careful kalo pesan sini sibuk [1] apa sempetin video unboxing', 'tweet_text': ' pesan masker kirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar kecewa buat customer kalo baca please be more careful kalo pesan sini sibuk apa sempetin video unboxing', 'sentence_score': ['pesan masker kirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar [4] kecewa [-3] buat customer kalo baca please be more careful kalo pesan sini sibuk [1] apa sempetin video unboxing'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
bahan ringan moga cocok,Positif,"{'classified_text': 'bahan ringan moga cocok [3]', 'tweet_text': ' bahan ringan moga cocok', 'sentence_score': ['bahan ringan moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulit minyak,Netral,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
ringan banget bibir lup lup dah buat azarine,Netral,"{'classified_text': 'ringan banget bibir lup lup dah buat azarine', 'tweet_text': ' ringan banget bibir lup lup dah buat azarine', 'sentence_score': ['ringan banget bibir lup lup dah buat azarine'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
no review found,Netral,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas dalam paket kertas cara aju komplain nyata memang enggak beres isi,Negatif,"{'classified_text': 'kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas [4] dalam paket kertas cara aju komplain nyata memang enggak beres isi', 'tweet_text': ' kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas dalam paket kertas cara aju komplain nyata memang enggak beres isi', 'sentence_score': ['kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas [4] dalam paket kertas cara aju komplain nyata memang enggak beres isi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tidak barang nya,Negatif,"{'classified_text': 'tidak barang nya', 'tweet_text': ' tidak barang nya', 'sentence_score': ['tidak barang nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bikin bruntusan geleuh muka jadi lihat rasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhir buat tangan area tubuh gelap deh,Negatif,"{'classified_text': 'bikin bruntusan geleuh muka jadi lihat rasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhir buat tangan area tubuh gelap [-2] deh', 'tweet_text': ' bikin bruntusan geleuh muka jadi lihat rasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhir buat tangan area tubuh gelap deh', 'sentence_score': ['bikin bruntusan geleuh muka jadi lihat rasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhir buat tangan area tubuh gelap [-2] deh'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
serum enggak kirim,Negatif,"{'classified_text': 'serum enggak kirim', 'tweet_text': ' serum enggak kirim', 'sentence_score': ['serum enggak kirim'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
baru pertama coba pakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,Positif,"{'classified_text': 'baru pertama coba pakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali', 'tweet_text': ' baru pertama coba pakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali', 'sentence_score': ['baru pertama coba pakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
love banget terima kasih azarine tadi beli pc nyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku,Positif,"{'classified_text': 'love banget terima kasih [4] azarine tadi beli pc nyata memang bagus [5] banget velvety lippie cream nya enggak cocok [-3] warm tone bagus [5] banget aku', 'tweet_text': ' love banget terima kasih azarine tadi beli pc nyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku', 'sentence_score': ['love banget terima kasih [4] azarine tadi beli pc nyata memang bagus [5] banget velvety lippie cream nya enggak cocok [-3] warm tone bagus [5] banget aku'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
pertama kali coba elum tau sih,Netral,"{'classified_text': 'pertama kali coba elum tau sih', 'tweet_text': ' pertama kali coba elum tau sih', 'sentence_score': ['pertama kali coba elum tau sih'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
realpict sukses selalu seller,Positif,"{'classified_text': 'realpict sukses [4] selalu seller', 'tweet_text': ' realpict sukses selalu seller', 'sentence_score': ['realpict sukses [4] selalu seller'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
semua cuma kaya nya kulit enggak cocok sama sunscreennya rasa lengket banget makenya so sorry,Netral,"{'classified_text': 'semua cuma [-2] kaya [3] nya kulit enggak cocok [-3] sama sunscreennya rasa lengket banget makenya so sorry', 'tweet_text': ' semua cuma kaya nya kulit enggak cocok sama sunscreennya rasa lengket banget makenya so sorry', 'sentence_score': ['semua cuma [-2] kaya [3] nya kulit enggak cocok [-3] sama sunscreennya rasa lengket banget makenya so sorry'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}"
baru pertama coba moga cocok emas cepat aman kirim cepat,Positif,"{'classified_text': 'baru pertama coba moga cocok [3] emas [5] cepat [5] aman [5] kirim cepat [4]', 'tweet_text': ' baru pertama coba moga cocok emas cepat aman kirim cepat', 'sentence_score': ['baru pertama coba moga cocok [3] emas [5] cepat [5] aman [5] kirim cepat [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
pesan paket twin pack harusanya terima produk terima tidak sempat laku video unboxing jadi tadi klaim mohon telah lebih hati perhati produk kirim apa sesuai pesan belum,Negatif,"{'classified_text': 'pesan paket twin pack harusanya terima produk terima tidak sempat laku [3] video unboxing jadi tadi klaim mohon [1] telah lebih hati perhati produk kirim apa sesuai [3] pesan belum', 'tweet_text': ' pesan paket twin pack harusanya terima produk terima tidak sempat laku video unboxing jadi tadi klaim mohon telah lebih hati perhati produk kirim apa sesuai pesan belum', 'sentence_score': ['pesan paket twin pack harusanya terima produk terima tidak sempat laku [3] video unboxing jadi tadi klaim mohon [1] telah lebih hati perhati produk kirim apa sesuai [3] pesan belum'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
layan admin nya jelek,Negatif,"{'classified_text': 'layan admin nya jelek [-4]', 'tweet_text': ' layan admin nya jelek', 'sentence_score': ['layan admin nya jelek [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
kesel aku tunggu barang datang salah dong produk mana bungkus sesuai sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi hilang percaya sama toko mana lama mana foto enggak lampir tulis ganggu rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda,Negatif,"{'classified_text': 'kesel aku tunggu barang datang salah [-4] dong produk mana [-4] bungkus sesuai [3] sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah [4] kirim kayak begini rugi [-4] harga aku jadi hilang [-3] percaya [4] sama toko mana [-4] lama [-2] mana [-5] foto enggak lampir tulis ganggu [-4] rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda', 'tweet_text': ' kesel aku tunggu barang datang salah dong produk mana bungkus sesuai sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi hilang percaya sama toko mana lama mana foto enggak lampir tulis ganggu rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda', 'sentence_score': ['kesel aku tunggu barang datang salah [-4] dong produk mana [-4] bungkus sesuai [3] sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah [4] kirim kayak begini rugi [-4] harga aku jadi hilang [-3] percaya [4] sama toko mana [-4] lama [-2] mana [-5] foto enggak lampir tulis ganggu [-4] rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
barang kirim cuman harus beli twin pack,Negatif,"{'classified_text': 'barang kirim cuman harus beli twin pack', 'tweet_text': ' barang kirim cuman harus beli twin pack', 'sentence_score': ['barang kirim cuman harus beli twin pack'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pakai hari wajah jadi minyak merah jadi beruntus,Negatif,"{'classified_text': 'pakai hari wajah jadi minyak merah jadi beruntus', 'tweet_text': ' pakai hari wajah jadi minyak merah jadi beruntus', 'sentence_score': ['pakai hari wajah jadi minyak merah jadi beruntus'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
sesuai deskripsi,Positif,"{'classified_text': 'sesuai [3] deskripsi', 'tweet_text': ' sesuai deskripsi', 'sentence_score': ['sesuai [3] deskripsi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulit minyak masalah kulit jerawat masalah kulit pori besar,Netral,"{'classified_text': 'tipe kulit minyak masalah [-4] kulit jerawat masalah [-4] kulit pori besar [3]', 'tweet_text': ' tipe kulit minyak masalah kulit jerawat masalah kulit pori besar', 'sentence_score': ['tipe kulit minyak masalah [-4] kulit jerawat masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
kecewa sama emas kardus peyok dalem enggak bubble wrap biasa bubble wrap nya untung paket aman,Negatif,"{'classified_text': 'kecewa [-3] sama emas [4] kardus peyok dalem enggak bubble wrap biasa [-2] bubble wrap nya untung paket aman [4]', 'tweet_text': ' kecewa sama emas kardus peyok dalem enggak bubble wrap biasa bubble wrap nya untung paket aman', 'sentence_score': ['kecewa [-3] sama emas [4] kardus peyok dalem enggak bubble wrap biasa [-2] bubble wrap nya untung paket aman [4]'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
tipe kulit kering,Netral,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pertama kali tidak terima barang pesan lengkap sayang tidak laku video unboxing,Negatif,"{'classified_text': 'pertama kali tidak terima barang pesan lengkap sayang [4] tidak laku [-3] video unboxing', 'tweet_text': ' pertama kali tidak terima barang pesan lengkap sayang tidak laku video unboxing', 'sentence_score': ['pertama kali tidak terima barang pesan lengkap sayang [4] tidak laku [-3] video unboxing'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa baru pertama kali pesan official store layan buruk kirim lama barang kirim sesuai tidak box bubble wrap kalo butuh cepat timbang beli official store,Negatif,"{'classified_text': 'beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa [-3] baru pertama kali pesan official store layan buruk [-4] kirim lama [-2] barang kirim sesuai [3] tidak box bubble wrap kalo butuh cepat [4] timbang beli official store', 'tweet_text': ' beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa baru pertama kali pesan official store layan buruk kirim lama barang kirim sesuai tidak box bubble wrap kalo butuh cepat timbang beli official store', 'sentence_score': ['beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa [-3] baru pertama kali pesan official store layan buruk [-4] kirim lama [-2] barang kirim sesuai [3] tidak box bubble wrap kalo butuh cepat [4] timbang beli official store'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
sudah proses lama banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang,Negatif,"{'classified_text': 'sudah proses lama [-3] banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang', 'tweet_text': ' sudah proses lama banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang', 'sentence_score': ['sudah proses lama [-3] banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
kira beli toko official emas lebih baik terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat tidak isi tumpah cuma harap kotak kemas azarine lebih baik kirim video unboxing,Negatif,"{'classified_text': 'kira beli toko official emas [5] lebih baik [5] terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat [4] tidak isi tumpah cuma [-2] harap kotak kemas azarine lebih baik [5] kirim video unboxing', 'tweet_text': ' kira beli toko official emas lebih baik terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat tidak isi tumpah cuma harap kotak kemas azarine lebih baik kirim video unboxing', 'sentence_score': ['kira beli toko official emas [5] lebih baik [5] terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat [4] tidak isi tumpah cuma [-2] harap kotak kemas azarine lebih baik [5] kirim video unboxing'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
tiap belanja salah kalo enggak kurang barang salah barang ikhlasin moga berkah kalo produk cocok layan nya kurang butuh karyawan,Negatif,"{'classified_text': 'tiap belanja salah [-4] kalo enggak kurang [2] barang salah [-4] barang ikhlasin moga berkah kalo produk cocok [3] layan nya kurang [-2] butuh karyawan', 'tweet_text': ' tiap belanja salah kalo enggak kurang barang salah barang ikhlasin moga berkah kalo produk cocok layan nya kurang butuh karyawan', 'sentence_score': ['tiap belanja salah [-4] kalo enggak kurang [2] barang salah [-4] barang ikhlasin moga berkah kalo produk cocok [3] layan nya kurang [-2] butuh karyawan'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
layan jelek banget,Negatif,"{'classified_text': 'layan jelek [-5] banget', 'tweet_text': ' layan jelek banget', 'sentence_score': ['layan jelek [-5] banget'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
