review_tokens_stemmed,Sentimen
pertama kali coba belum tau sih,Netral
realpict sukses selalu seller,Positif
semua cuma kaya nya kulit enggak cocok sama sunscreennya rasa lengket banget makenya so sorry,Netral
baru pertama coba moga cocok emas cepat aman kirim cepat,Positif
pesan paket twin pack harusanya terima produk terima tidak sempat laku video unboxing jadi tadi klaim mohon telah lebih hati perhati produk kirim apa sesuai pesan belum,Negatif
layan admin nya jelek,Negatif
kesel aku tunggu barang datang salah dong produk mana bungkus sesuai sama produk aku pesan alhasil aku buka tanpa video banget kalau misal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi hilang percaya sama toko mana lama mana foto enggak lampir tulis ganggu rumah toped enggak tau deh serah cek data gudang data beli produk gudang jumlah beda,Negatif
barang kirim cuman harus beli twin pack,Negatif
pakai hari wajah jadi minyak merah jadi beruntus,Negatif
sesuai deskripsi,Positif
tipe kulit minyak masalah kulit jerawat masalah kulit pori besar,Netral
kecewa sama emas kardus peyok dalem enggak bubble wrap biasa bubble wrap nya untung paket aman,Negatif
tipe kulit kering,Netral
pertama kali tidak terima barang pesan lengkap sayang tidak laku video unboxing,Negatif
beli tanggal mei chat admin kata tanggal kirim mau batal otomatis baru kirim rumah tanggal malam padahal mau bawa luar kota tanggal mei lihat status enggak kirim akhir beli sama reseller jakarta kecewa baru pertama kali pesan official store layan buruk kirim lama barang kirim sesuai tidak box bubble wrap kalo butuh cepat timbang beli official store,Negatif
sudah proses lama banget kirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang,Negatif
kira beli toko official emas lebih baik terima kondisi kotak kemas prpduk buka tanya chat jual tidak direspond cepat tidak isi tumpah cuma harap kotak kemas azarine lebih baik kirim video unboxing,Negatif
tiap belanja salah kalo enggak kurang barang salah barang ikhlasin moga berkah kalo produk cocok layan nya kurang butuh karyawan,Negatif
layan jelek banget,Negatif
exp panjang thanks,Negatif
tekstur keras gumpal,Negatif
terima keaadan bocor bekas lubang paku jadi isi tumpah jadi aku lem biar isi enggak tumpah baru pertama belanja sini malah kecewa padahal official store malas mau complain entar lama proses,Negatif
tekstur kental banget aku kurang ngefek sih probably enggak beli,Negatif
botol semprot suka ngawur arah,Netral
produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya,Netral
sering pakai isi banyak bahan enggak neko fokus melembabkan,Positif
tekstur ringan kirim cepat,Positif
respon toko nya cepat ramah belum coba mudah mudah cocok,Positif
langgan selalu beli sini,Positif
tutup pumpnya enggak fungsi gentle banget washnya,Positif
face wash enak sih pakai nya terus banyak busa nya jadi pakai sedikit tuh full muka leher cocok banget buat kulit sensitif,Positif
material bagus packaging aman enggak bocor tekstur gel langsung resap aman fragrance packaging pump hygenis moga kulit sensitif cocok terima kasih,Positif
bagus ro,Positif
bagus bagus cocok,Positif
bonus,Positif
kasih free gift keren,Positif
benar aku suka banget produk resap cepat banget kulit enggak lengket greasy nyaman daan betul cocok bekas jerawat memang jadi lebih pudar tidak hilang tentu butuh proses bestie tapiii turut skin game perhati pilih packaging pump nya keras lalu produk keluar malah jadi loncat banyak buang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang,Positif
maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget,Negatif
warna nya kuning entah apa,Netral
habis pakai besok langsung muncul banyak jerawat kecil,Negatif
isi beranta,Negatif
bikin aku jerawat,Negatif
produk belum coba kirim tidak guna bubble wrap produk kotak kirim buka botol asa panas mungkin tidak lapis bubble wrap jadi langsung papar sinar matahari kirim moga produk efektif kandung,Negatif
selang pendek apa sih hilang bawah wtf annoying banget pakenya bagaimana coba aku cari enggak selang pakai tube aja kalo pakai packaging kayak begini masalah mulu sayang banget padahal formula bagus kalo packagingnya begini sih big no deh,Negatif
parah banget seller kirim kurir lama banget kirim plus waktu buka paket rusak enggak jelas seller tidak professional tidak niat jual sama sekali meski official store harga customer bungkus paket baik benar,Negatif
packaging suka banget rim cepat cuman sorry banget kayak memang enggak cocok aku kayak langsung jerawat besar,Netral
warna kuning kiri padahal baru buka punya pakai bulan kanan bening,Negatif
benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,Negatif
belum coba pertama kali beli moga cocok bintang beri respon admin antar pesan baik cepat,Positif
fast response on time delivery,Positif
belum coba moga cocok,Positif
tipe kulit minyak masalah kulit pori besar,Netral
moga cocok terima kasih bonus,Positif
barang tidak terima sekarang kurir tanya balesnya lama kirim dipindahtangankan sama kurir pertama kecewa padahal alamat sesuai biasa begini kak komplain bagi ekspedisi kirim terima kasih,Negatif
enggak cocok muka tambah jerawat parah,Negatif
hadiah bohong,Negatif
bohong,Negatif
baru mau coba moga cocok tipe kulit kombinasi masalah kulit jerawat,Positif
oke,Positif
tipe kulit kering tipe kulit normal,Netral
pertama kali coba warna kulit cenderung gelap awal pikir bakal jomplang pas pakai nyata blend banget sama kulit warna jadi lebih cerah bukan jadi tone up tekstur kaya foundy cair cepat nyerap awal kaya mate pas kering lama jadi glow up,Positif
seperti botol apa cocok kulit normal cenderung kering enak enggak white cast tone up jadi enggak asa cemong kulit putih,Positif
botol dua enak kulit gampang serap enggak masalah kulit mantap,Positif
produk beda isi cair customer service tanya enggak bantu tele tele,Negatif
kecewa isi tidak full beli tempat,Negatif
paksa kasih nilai jelek admin al el ve handle chat balas asal tidak jawab konsultasi customer baik pertanyan jawab tidak sesuai asal balas tanpa baca masalah beli,Negatif
baru coba moga cocok recommended seller,Positif
pertama kali coba tinted sunscreen mudah cocok enggak oksidasi sesuai klaim packing aman kardus tambah bubble wrap tebal mantap,Positif
pesan barang paket lengkap datang paket,Positif
lebih baik sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure,Negatif
lot responnya,Negatif
wtf pas buka tutup nyata puter malah tempat moisturizernya langsung tumpah tengah,Negatif
isi tidak sesuai,Negatif
thanks,Positif
well received thanks,Positif
barang aman cuma aku abuan dikit toleransi thanks,Positif
produk biasa paling parah layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah sedikit bakal fatal,Negatif
kata check out jam lama tau enggak bohong banget buat mau check out jangan percaya,Negatif
kecewa pesan batal tidak pernah mau beli terima kasih alas beli toko harga pusat normal beli reseller harga lambung jauh ribu kecewa ganti produk eye care terima kasih beli batal sama somethinc jahat banget pesan pakai usaha kalau tidak beli eye game changer sini mau beli stockist harga beda ribu ribu terima kasih belum kadang pre order sungguh kecewa beli official mana beli banyak terima kasih,Negatif
beautiful package bintang buat safety nya,Positif
kirim lama beda provinsi gapapa packingnya aman banget moga cocok baik kulit aku tipe kulit minyak,Negatif
top,Positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif,Positif
exp,Positif
pertama banget dulu sih beli bagus banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasi waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka muncul tiba tiba,Netral
tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif,Positif
barang sesuai pesan,Positif
kirim oke saran facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang nyaman guna,Positif
moga cocok soal dulu cocok banget pakai,Positif
kirim cepat mantap,Netral
alhamdulillah barang emas barang thank you kurir sicepat team avoskin,Negatif
bahan gampang serap,Netral
bagus,Netral
bagus,Netral
oke,Negatif
gratis mini pouch terima kasih moga cocok,Netral
alhamdulillah barang moga cocok selau harga diskon yes,Negatif
cocok sama produk,Positif
kali kali beli toko official kali beli selalu amanah thanks,Positif
barang nya oke,Positif
repeat order,Netral
masalah kulit pori besar,Negatif
beda nih pertama beli first time coba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang lah coba rugi dong sudah aku pindah haluan byeee,Negatif
tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth,Netral
cepat kirim baik bubble warp,Netral
tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar,Netral
harga ceban yay belum coba,Netral
beli sekian kali cocok muka kalo pas jerawat kulit tetap nafas,Netral
nyata baru pertama kali moga cocok,Netral
mudah cocok terima kasih,Positif
sering beli selalu cocok,Netral
barang datang selamat lama datang,Netral
packing nya bagus banget cream harga segitu tekstur ringan cepat resap kulit enggak bau sengat sama sekali moga cocok kulit aku kering bruntusan terima kasih,Positif
terima kasih,Netral
bahan ringan mudah serap cocok kulit aku jerawat enggak bikin breakout the best pokok,Netral
tipe kulit kombinasi masalah kulit jerawat,Netral
tipe kulit kombinasi,Netral
tipe kulit minyak masalah kulit pori besar original terima kasih,Netral
bahan ringan cocok guna,Positif
tipe kulit minyak baru mau coba maka belum coba punya teman cocok,Netral
barang datang sesuai packing nya aman kirim cepat,Netral
asa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka,Netral
beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulit kombinasi,Netral
warna cantik banget,Netral
cocok tipe kulit kombinasi,Netral
jujur panik pas lihat dus penyok nyata isi aman meski pas buka dus kemas tutup botol moist nya kurang rapet untung isi aman enggak luber mana,Netral
jujur panik pas lihat dus penyok nyata isi aman meski pas buka dus kemas tutup botol moist nya kurang rapet untung isi aman enggak luber mana baru sekali pakai produk oke banget pas pakai kulit cocok suka sama packing baru,Netral
cocok kulit minyak kemas lucu,Netral
bahan ringan cepat resap terus packaging nya banget,Netral
terima kasih banyak paket selamat,Netral
barang bagus sesuai packing mantap terima kasih,Netral
enggak usah tanya memang bagus lembab bantu pulih skin barier jauh moisturizer enggak ganti,Netral
produk sangat bagus langsung serap buat lembab,Netral
repurchase kali produk simple efektif packaging simple aman,Netral
cocok kulit tekstur ringan sangat cepat serap kulit super recommended,Positif
baru pertama kali beli skin game mudah mudah cocok,Negatif
akhir temu moisturizer cocok moistnya ringan cepat serap aku pakai tube tube pakai bulan lebih gantung pakai,Netral
bagus moga cocok,Netral
baru mau coba moga cocok,Positif
produk orisinal aman kakak adminnya ramah banget bakal repurchase deh kayak,Positif
kirim emas cepat banget aman produk sesuai pernah coba lumayan bikin jerawat cepat mateng thankyou,Netral
bau aneh apek bau besi tempat pernah pakai sabun tanpa bau enggak pernah jadi kurang nyaman pakai sekarang,Netral
dulu selalu jadi langgan solusi kalau jerawat bulan betul breakout tidak pikir lama langsung checkout holy grail love you rebu,Netral
barang selamat packagingnya aman moga cocok,Positif
baru pertama kali coba moga cocok thank you seller,Positif
barang selamat,Negatif
packing rapi aman barang sesuai pesan,Netral
this moisturizer is seriously game changer love how one bottle could last me months,Netral
baru coba pertama kali moga cocok reviewnya bagus,Netral
mantap sesuai moga cocok,Netral
tadi mau beli diofflinestore mahal banget pas cek dionline store nya cuma potong sama flashsale langsung beli,Positif
terima kasih,Positif
terima kasih,Netral
terima kasih tumben enggak gift nya,Netral
tipe kulit minyak masalah kulit jerawat moga cocok sama rangkai terima kasih,Netral
minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai memang enggak cocok,Netral
bagus,Positif
kirim cukup cepat barang kirim sesuai pesan expired datenya,Positif
cocok kulit enggak kering tarik kirim cepat mantap,Positif
lipstik mudah patah saran kalau pakai jangan ulur terlalu panjang,Positif
barang lengkap packing aman rapi belum coba productnya moga cocok tipe kulit normal,Positif
baca review nya bagus mudah cocok terima kasih bonus pas banget pas butuh,Positif
cocok kulit pakai jerawat biji pipi radang malam kasih besok mending kempes,Netral
benar bagus aku jatuh bikin bibir kering walaupun pakai lipstick pakai lipbalm warna pigmented banget merah queennya bagus banget,Netral
exp date lama kirim cepat diskon lumayan thanks somethinc,Positif
moga cocok kulit sensitif banyak teman rekomen coba jadi langsung aku checkout,Positif
belum coba moga cocok,Netral
paket aman moga cocok,Positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif masalah kulit jerawat,Netral
kirim cepat packing bagus,Positif
sesuai deskripsi,Positif
ingredients nya bikin penasaran jadi pengin coba jauh selalu repurchase produk avo selalu cocok aaaa,Positif
kirim lama banget ganti kurir,Negatif
emas oke moga cocok,Positif
moga cocok,Netral
bintang pertama dikirimin expired beli harga normal beli chat tanya beda harga normal sale sale expired normal expired walaupun akhir return ganti expired proses return nya ribet banget utama pihak expedisi sicepat tidak segera pick up hari maksud kalau awal teliti enggak perlu buang waktu urus return nya moga depan makin teliti packing aman bagus admin responsive thank you,Negatif
packing aman expired lama,Positif
huhu serum nya datang cepat banget kirim beli harga diskon baru pertama pakai moga cocok muka ku tipe kulit normal,Positif
tipe kulit sensitif,Netral
paket lempar sama kurir jelas jelas tulis fragile dus,Negatif
barang baru pertama kali coba moga cocok,Netral
serum baik buat baik skin barier rusak pakai serum sejak hasil jerawat enggak pernah muncul kulit jadi enggak pernah rewel please jangan enggak produksi serum jadi pakai kulit aku,Positif
cari alternatif ingredients samar bekas jerawat aku enggak cocok sama vit niacin alpha arbutin,Netral
dulu pernah pakai ngefek banget kulit bikin jadi lembab enggak beruntus dibarengin sama refining tonernya,Positif
pesan tanggal kirim tanggal padahal tanggal bawa terbang kecewa kali dapat layan kurang senang padahal produk bagus jadi guna tetap avoskin,Negatif
bagus sih produk cocok cuma sedikit kecewa packagingnya kurang aman enggak bublewrapnya padahal jalan jauh sidoarjo jakarta,Negatif
kirim pakai sicepat sangat lambat gudang tanggal baru antar rumah tanggal sayang banget enggak sesuai nama,Negatif
paket terima ada baik,Positif
baru pertama pakai moga cocok min tipe kulit minyak tipe kulit kombinasi,Netral
fast respon,Positif
nice,Positif
worth the price pcs harga cashback,Netral
thanks,Positif
packing aman banget moga cocok,Positif
alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan atas azarine thanks azarine,Positif
repurchased indak bikin kusam affordable,Netral
isi dikit banget bingung ira enggak isi,Negatif
ringan kulit warna pas,Netral
cepat ringan sesuai nama tinted sunscreen buat tutup merah aku belum coba shade nina malah jadi kusam kuning akhir coba shade butter pas,Netral
cepat tekstur creamy smugeproof loh warna kurang pigment,Negatif
tekstur ringan mudah serap kulit spf nya jadi kalo pakai daily walaupun enggak full coverage tutup warna tidak rata muka bakal repurchase,Negatif
kirim cepat packing oke thanks,Netral
suka sama warna next order warna,Netral
tipe kulit minyak alhamdulillah cocok thanks,Netral
beli serum pas harga flash sale lumayan banget diskon packing oke kirim lumayan cepat produk belum coba jadi belum kasih nilai,Positif
jujur buat aku enggak cocok aku gapaham skincare cenderung asal beli cuma seperti works deh kalo memang cocok tipe kulit feel muka pakai lengket aku jadi enggak tidur miring terus bukan tipe skincare kalo kena angin adem muka cuma yaudah salah,Negatif
hasil akhir bagus kayak kulit bersih sehat,Negatif
