review_tokens_stemmed,Sentimen
jujur panik pas lihat dus penyok nyata isi aman meski pas buka dus kemas tutup botol moist nya kurang rapet untung isi aman enggak luber mana baru sekali pakai produk oke banget pas pakai kulit cocok suka sama packing baru,Netral
cocok kulit minyak kemas lucu,Netral
bahan ringan cepat resap terus packaging nya banget,Netral
terima kasih banyak paket selamat,Netral
barang bagus sesuai packing mantap terima kasih,Netral
enggak usah tanya memang bagus lembab bantu pulih skin barier jauh moisturizer enggak ganti,Netral
produk sangat bangus langsung serap buat lembab,Netral
repurchase kali produk simple efektif packaging simple aman,Netral
cocok kulit tekstur ringan sangat cepat serap kulit super recommended,Positif
baru pertama kali beli skin game mudah mudah cocok,Negatif
akhir temu moisturizer cocok moistnya ringan cepat serap aku pakai tube tube pakai bulan lebih gantung pakai,Netral
bagus moga cocok,Netral
baru mau coba moga cocok,Positif
produk orisinal aman kakak adminnya ramah banget bakal repurchase deh kayak,Positif
kirim emas cepat banget aman produk sesuai pernah coba lumayan bikin jerawat cepat mateng thankyou,Netral
bau aneh apek bau besi tempat pernah pakai sabun tanpa bau enggak pernah jadi kurang nyaman pakai sekarang,Netral
dulu selalu jadi langgan solusi kalau jerawat bulan betul breakout tidak pikir lama langsung checkout holy grail love you rebu,Netral
barang selamat packagingnya aman moga cocok,Positif
warna nya kuning entah apa,Netral
baru pertama kali coba moga cocok thank you seller,Positif
barang selamat,Negatif
packing rapi aman barang sesuai pesan,Netral
this moisturizer is seriously game changer love how one bottle could last me months,Netral
baru coba pertama kali moga cocok reviewnya bagus,Netral
mantap sesuai moga cocok,Netral
tadi mau beli diofflinestore mahal banget pas cek dionline store nya cuma potong sama flashsale langsung beli,Positif
terima kasih,Positif
terima kasih,Netral
terima kasih tumben enggak gift nya,Netral
tipe kulit minyak masalah kulit jerawat moga cocok sama rangkai terima kasih,Netral
minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai memang enggak cocok,Netral
bagus,Positif
kirim cukup cepat barang kirim sesuai pesan expired datenya,Positif
cocok kulit enggak kering tarik kirim cepat mantap,Positif
lipstik mudah patah saran kalau pakai jangan ulur terlalu panjang,Positif
barang lengkap packing aman rapi belum coba productnya moga cocok tipe kulit normal,Positif
baca review nya bagus mudah cocok terima kasih bonus pas banget pas butuh,Positif
cocok kulit pakai jerawat biji pipi radang malam kasih besok mending kempes,Netral
benar bagus aku jatuh bikin bibir kering walaupun pakai lipstick pakai lipbalm warna pigmented banget merah queennya bagus banget,Netral
exp date lama kirim cepat diskon lumayan thanks somethinc,Positif
moga cocok kulit sensitif banyak teman rekomen coba jadi langsung aku checkout,Positif
belum coba moga cocok,Netral
sesuai deskripsi,Positif
paket aman moga cocok,Positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif masalah kulit jerawat,Netral
kirim cepat packing bagus,Positif
sesuai deskripsi,Positif
ingredients nya bikin penasaran jadi pengin coba jauh selalu repurchase produk avo selalu cocok aaaa,Positif
kirim lama banget ganti kurir,Negatif
emas oke moga cocok,Positif
moga cocok,Netral
bintang pertama dikirimin expired beli harga normal beli chat tanya beda harga normal sale sale expired normal expired walaupun akhir return ganti expired proses return nya ribet banget utama pihak expedisi sicepat tidak segera pick up hari maksud kalau awal teliti enggak perlu buang waktu urus return nya moga depan makin teliti packing aman bagus admin responsive thank you,Negatif
packing aman expired lama,Positif
huhu serum nya datang cepat banget kirim beli harga diskon baru pertama pakai moga cocok muka ku tipe kulit normal,Positif
tipe kulit sensitif,Netral
paket lempar sama kurir jelas jelas tulis fragile dus,Negatif
barang baru pertama kali coba moga cocok,Netral
serum baik buat baik skin barier rusak pakai serum sejak hasil jerawat enggak pernah muncul kulit jadi enggak pernah rewel please jangan enggak produksi serum jadi pakai kulit aku,Positif
cari alternatif ingredients samar bekas jerawat aku enggak cocok sama vit niacin alpha arbutin,Netral
dulu pernah pakai ngefek banget kulit bikin jadi lembab enggak beruntus dibarengin sama refining tonernya,Positif
pesan tanggal kirim tanggal padahal tanggal bawa terbang kecewa kali dapat layan kurang senang padahal produk bagus jadi guna tetap avoskin,Negatif
bagus sih produk cocok cuma sedikit kecewa packagingnya kurang aman enggak bublewrapnya padahal jalan jauh sidoarjo jakarta,Negatif
kirim pakai sicepat sangat lambat gudang tanggal baru antar rumah tanggal sayang banget enggak sesuai nama,Negatif
paket terima ada baik,Positif
baru pertama pakai moga cocok min tipe kulit minyak tipe kulit kombinasi,Netral
fast respon,Positif
nice,Positif
worth the price pcs harga cashback,Netral
thanks,Positif
kecewa sama emas kardus peyok dalem enggak bubble wrap biasa bubble wrap nya untung paket aman,Negatif
packing aman banget moga cocok,Positif
alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan atas azarine thanks azarine,Positif
repurchased indak bikin kusam affordable,Netral
isi dikit banget bingung ira enggak isi,Negatif
ringan kulit warna pas,Netral
cepat ringan sesuai nama tinted sunscreen buat tutup merah aku belum coba shade nina malah jadi kusam kuning akhir coba shade butter pas,Netral
cepat tekstur creamy smugeproof loh warna kurang pigment,Negatif
tekstur ringan mudah serap kulit spf nya jadi kalo pakai daily walaupun enggak full coverage tutup warna tidak rata muka bakal repurchase,Negatif
kirim cepat packing oke thanks,Netral
suka sama warna next order warna,Netral
tipe kulit minyak alhamdulillah cocok thanks,Netral
beli serum pas harga flash sale lumayan banget diskon packing oke kirim lumayan cepat produk belum coba jadi belum kasih nilai,Positif
jujur buat aku enggak cocok aku gapaham skincare cenderung asal beli cuma seperti works deh kalo memang cocok tipe kulit feel muka pakai lengket aku jadi enggak tidur miring terus bukan tipe skincare kalo kena angin adem muka cuma yaudah salah,Negatif
hasil akhir bagus kayak kulit bersih sehat,Negatif
