,Review,Sentimen,Review_norm,review_tokens
28,dijanjikan expired th tapi dapetnya bulan,Negatif,dijanjikan expired tahu tapi dapetnya bulan,"['dijanjikan', 'expired', 'tahu', 'tapi', 'dapetnya', 'bulan']"
29,pesen masker yang dikirim my bad ga di video unboxing nya tapi kecewa banget bisa lalai bgt team packing nya please kerja yg fokus dan bener biar customer ga dirugikan begini ga semua orang sempet bikin video unboxing begitu so sorry kasih bintang karna beneran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesen disini sesibuk apapun sempetin video unboxing,Negatif,pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing,"['pesan', 'masker', 'yang', 'dikirim', 'my', 'bad', 'enggak', 'di', 'video', 'unboxing', 'nya', 'tapi', 'kecewa', 'banget', 'bisa', 'lalai', 'banget', 'team', 'packing', 'nya', 'please', 'kerja', 'yang', 'fokus', 'dan', 'benar', 'biar', 'customer', 'enggak', 'dirugikan', 'begini', 'enggak', 'semua', 'orang', 'sempat', 'bikin', 'video', 'unboxing', 'begitu', 'so', 'sorry', 'kasih', 'bintang', 'karena', 'benaran', 'kecewa', 'buat', 'customer', 'yang', 'lain', 'kalo', 'baca', 'ini', 'please', 'be', 'more', 'careful', 'ya', 'kalo', 'pesan', 'disini', 'sesibuk', 'apapun', 'sempetin', 'video', 'unboxing']"
30,bahan ringan smg cocok,Positif,bahan ringan semoga cocok,"['bahan', 'ringan', 'semoga', 'cocok']"
31,tipe kulitku berminyak,Netral,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']"
32,ringan bgt dibibir lup lup dh bwt azarine,Netral,ringan banget dibibir lup lup dah buat azarine,"['ringan', 'banget', 'dibibir', 'lup', 'lup', 'dah', 'buat', 'azarine']"
33,no review found,Netral,no review found,"['no', 'review', 'found']"
34,kali ini paket white series yg dtng cmn harusnya udh komplain tpi ngga direspon samsek pantes didalam paket ada kertas cara ngajuin komplain trnyata emng ga beres isinya,Negatif,kali ini paket white series yang datang cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya,"['kali', 'ini', 'paket', 'white', 'series', 'yang', 'datang', 'cuman', 'harusnya', 'sudah', 'komplain', 'tapi', 'enggak', 'direspon', 'sama', 'sekali', 'pantas', 'didalam', 'paket', 'ada', 'kertas', 'cara', 'mengajukan', 'komplain', 'ternyata', 'memang', 'enggak', 'beres', 'isinya']"
35,tidak sampai barang nya,Negatif,tidak sampai barang nya,"['tidak', 'sampai', 'barang', 'nya']"
36,bikin bruntusan yg geleuh muka jadi keliatan dan kerasa kotor bgt ewh udh pake sunscreen dan toner yg soft light gitu no deh bener kata org ini buat kulit sensitif dan kering jangan pake akhirnya buat tangan dan area tubuh yg gelap aja deh,Negatif,bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap saja deh,"['bikin', 'bruntusan', 'yang', 'geleuh', 'muka', 'jadi', 'kelihatan', 'dan', 'kerasa', 'kotor', 'banget', 'ewh', 'sudah', 'pakai', 'sunscreen', 'dan', 'toner', 'yang', 'soft', 'light', 'begitu', 'no', 'deh', 'benar', 'kata', 'orang', 'ini', 'buat', 'kulit', 'sensitif', 'dan', 'kering', 'jangan', 'pakai', 'akhirnya', 'buat', 'tangan', 'dan', 'area', 'tubuh', 'yang', 'gelap', 'saja', 'deh']"
37,serumnya ga dikirim,Negatif,serumnya enggak dikirim,"['serumnya', 'enggak', 'dikirim']"
38,baru pertama coba dan udah dipake beberapa hari sunscreennya bagus banget cocok buat acne face kuu ga lengket sama sekali,Positif,baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,"['baru', 'pertama', 'coba', 'dan', 'sudah', 'dipakai', 'beberapa', 'hari', 'sunscreennya', 'bagus', 'banget', 'cocok', 'buat', 'acne', 'face', 'ku', 'enggak', 'lengket', 'sama', 'sekali']"
39,love banget makasih azarine tadinya beli karena dapet pc tapi ternyata emang bagus banget velvety lippie cream nyaa dan walau ga cocok warm tone ini bagus banget di akuu,Positif,love banget terima kasih azarine tadinya beli karena dapat pc tapi ternyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku,"['love', 'banget', 'terima', 'kasih', 'azarine', 'tadinya', 'beli', 'karena', 'dapat', 'pc', 'tapi', 'ternyata', 'memang', 'bagus', 'banget', 'velvety', 'lippie', 'cream', 'nya', 'dan', 'walau', 'enggak', 'cocok', 'warm', 'tone', 'ini', 'bagus', 'banget', 'di', 'aku']"
40,pertama kali coba elum tau si,Netral,pertama kali coba belum tau sih,"['pertama', 'kali', 'coba', 'belum', 'tau', 'sih']"
41,realpict sukses selalu seller,Positif,realpict sukses selalu seller,"['realpict', 'sukses', 'selalu', 'seller']"
42,smuaa ok cuma ky nya kulitku yg ga cocok sm sunscreennya ngerasa lengket bgt makenya so sorry,Netral,semua ok cuma kaya nya kulitku yang enggak cocok sama sunscreennya merasa lengket banget makenya so sorry,"['semua', 'ok', 'cuma', 'kaya', 'nya', 'kulitku', 'yang', 'enggak', 'cocok', 'sama', 'sunscreennya', 'merasa', 'lengket', 'banget', 'makenya', 'so', 'sorry']"
43,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,Positif,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,"['baru', 'pertama', 'coba', 'semoga', 'cocok', 'pengemasan', 'cepat', 'dan', 'aman', 'pengiriman', 'cepat']"
44,saya pesen dua paket twin pack dan lg yg ini harusanya saya terima produk tp saya hanya terima saya tidak sempat melakukan video unboxing jd td bisa klaim mohon untuk setelahnya lbh berhati dan memperhatikan produk yg akan dikirim apa sudah sesuai dgn pesanan atau blm,Negatif,saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum,"['saya', 'pesan', 'dua', 'paket', 'twin', 'pack', 'dan', 'lagi', 'yang', 'ini', 'harusanya', 'saya', 'terima', 'produk', 'tapi', 'saya', 'hanya', 'terima', 'saya', 'tidak', 'sempat', 'melakukan', 'video', 'unboxing', 'jadi', 'tadi', 'bisa', 'klaim', 'mohon', 'untuk', 'setelahnya', 'lebih', 'berhati', 'dan', 'memperhatikan', 'produk', 'yang', 'akan', 'dikirim', 'apa', 'sudah', 'sesuai', 'dengan', 'pesanan', 'atau', 'belum']"
45,pelayanan admin nya jelek,Negatif,pelayanan admin nya jelek,"['pelayanan', 'admin', 'nya', 'jelek']"
46,agak kesel ya aku udah nunggu barangnya dan yang dateng salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesen alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kaya gini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya ga bisa dilampirkan pula ada tulisan ada gangguan di rumah toped gatau deh serah di cek aja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,Negatif,agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,"['agak', 'kesel', 'ya', 'aku', 'sudah', 'menunggu', 'barangnya', 'dan', 'yang', 'datang', 'salah', 'dong', 'produknya', 'mana', 'di', 'bungkusnya', 'sesuai', 'sama', 'produk', 'yang', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'di', 'video', 'tolong', 'banget', 'kalau', 'semisal', 'packing', 'di', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'selain', 'rugi', 'di', 'harga', 'aku', 'juga', 'jadi', 'kehilangan', 'kepercayaan', 'sama', 'ini', 'toko', 'mana', 'lama', 'juga', 'mana', 'ini', 'fotonya', 'enggak', 'bisa', 'dilampirkan', 'pula', 'ada', 'tulisan', 'ada', 'gangguan', 'di', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'di', 'cek', 'saja', 'di', 'data', 'gudang', 'seharusnya', 'data', 'pembelian', 'dan', 'produk', 'yang', 'ada', 'di', 'gudang', 'jumlahnya', 'beda']"
47,barang yang dikirim cuman harusnya karena saya beli twin pack,Negatif,barang yang dikirim cuman harusnya karena saya beli twin pack,"['barang', 'yang', 'dikirim', 'cuman', 'harusnya', 'karena', 'saya', 'beli', 'twin', 'pack']"
48,saya sudah pake harian di wajah saya jadi berminyak merah dan jadi beruntusan,Negatif,saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan,"['saya', 'sudah', 'pakai', 'harian', 'di', 'wajah', 'saya', 'jadi', 'berminyak', 'merah', 'dan', 'jadi', 'beruntusan']"
49,sesuai deskripsi,Positif,sesuai deskripsi,"['sesuai', 'deskripsi']"
50,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']"
51,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif,agak kecewa sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,"['agak', 'kecewa', 'sama', 'pengemasannya', 'kardusnya', 'peyok', 'dalemnya', 'enggak', 'ada', 'bubble', 'wrap', 'biasanya', 'ada', 'bubble', 'wrap', 'nya', 'untung', 'paketnya', 'aman']"
52,tipe kulitku kering,Netral,tipe kulitku kering,"['tipe', 'kulitku', 'kering']"
53,ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,Negatif,ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,"['ini', 'pertama', 'kalinya', 'saya', 'tidak', 'menerima', 'barang', 'pesanan', 'saya', 'secara', 'lengkap', 'sayangnya', 'saya', 'tidak', 'melakukan', 'video', 'unboxing']"
54,beli tgl mei chat admin katanya tgl bisa dikirim tp sampai sudah mau batal otomatis baru dikirim sampe di rmh tgl malem pdhal mau dibawa ke luar kota tgl mei krn melihat status ga dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tp pelayanan buruk dan pengiriman lama barang yg dikirim sesuai hanya tdk ada box atau bubble wrap kalo yg butuh cepat tolong pertimbangkan utk beli di official store,Negatif,beli tanggal mei chat admin katanya tanggal bisa dikirim tapi sampai sudah mau batal otomatis baru dikirim sampai di rumah tanggal malam padahal mau dibawa ke luar kota tanggal mei karena melihat status enggak dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tapi pelayanan buruk dan pengiriman lama barang yang dikirim sesuai hanya tidak ada box atau bubble wrap kalo yang butuh cepat tolong pertimbangkan untuk beli di official store,"['beli', 'tanggal', 'mei', 'chat', 'admin', 'katanya', 'tanggal', 'bisa', 'dikirim', 'tapi', 'sampai', 'sudah', 'mau', 'batal', 'otomatis', 'baru', 'dikirim', 'sampai', 'di', 'rumah', 'tanggal', 'malam', 'padahal', 'mau', 'dibawa', 'ke', 'luar', 'kota', 'tanggal', 'mei', 'karena', 'melihat', 'status', 'enggak', 'dikirim', 'akhirnya', 'beli', 'sama', 'reseller', 'di', 'jakarta', 'kecewa', 'baru', 'pertama', 'kali', 'pesan', 'di', 'official', 'store', 'tapi', 'pelayanan', 'buruk', 'dan', 'pengiriman', 'lama', 'barang', 'yang', 'dikirim', 'sesuai', 'hanya', 'tidak', 'ada', 'box', 'atau', 'bubble', 'wrap', 'kalo', 'yang', 'butuh', 'cepat', 'tolong', 'pertimbangkan', 'untuk', 'beli', 'di', 'official', 'store']"
55,udahlah prosesnya lama bgt yg dikirim gk lengkap juga bilang dong kalo brgnya kosong gk bisa kasih review krn saya gak terima barang ini,Negatif,sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,"['sudahlah', 'prosesnya', 'lama', 'banget', 'yang', 'dikirim', 'enggak', 'lengkap', 'juga', 'bilang', 'dong', 'kalo', 'brgnya', 'kosong', 'enggak', 'bisa', 'kasih', 'review', 'karena', 'saya', 'enggak', 'terima', 'barang', 'ini']"
56,saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tdk direspond dg cepat tidak ada isi yg tumpah cm berharap kotak kemasan dr azarine bs lebih baik lg saya bs krm video unboxing,Negatif,saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,"['saya', 'kira', 'membeli', 'dari', 'toko', 'official', 'bisa', 'dapat', 'pengemasan', 'lebih', 'baik', 'saya', 'terima', 'kondisi', 'kotak', 'kemasan', 'prpduk', 'terbuka', 'dan', 'saya', 'tanya', 'chat', 'penjual', 'tidak', 'direspond', 'dengan', 'cepat', 'tidak', 'ada', 'isi', 'yang', 'tumpah', 'cuma', 'berharap', 'kotak', 'kemasan', 'dari', 'azarine', 'bisa', 'lebih', 'baik', 'lagi', 'saya', 'bisa', 'kirim', 'video', 'unboxing']"
57,tiap belanja pasti salah klo ga kurang barangnya ya salah barangnya ikhlasin aja semoga berkah kalo produknya cocok pelayanan nya aja kurang atau butuh karyawan,Negatif,tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan,"['tiap', 'belanja', 'pasti', 'salah', 'kalo', 'enggak', 'kurang', 'barangnya', 'ya', 'salah', 'barangnya', 'ikhlasin', 'saja', 'semoga', 'berkah', 'kalo', 'produknya', 'cocok', 'pelayanan', 'nya', 'saja', 'kurang', 'atau', 'butuh', 'karyawan']"
58,pelayanannya jelek bgt,Negatif,pelayanannya jelek banget,"['pelayanannya', 'jelek', 'banget']"
59,exp panjang thx,Negatif,exp panjang thanks,"['exp', 'panjang', 'thanks']"
60,dapet tekstur sudah keras dan menggumpal,Negatif,dapat tekstur sudah keras dan menggumpal,"['dapat', 'tekstur', 'sudah', 'keras', 'dan', 'menggumpal']"
61,diterima dalam keaadan bocor seperti bekas lubang paku jd isinya tumpah jadi aku lem biar isinya gak tumpah baru pertama belanja disini malah kecewa padahal official store malas aja mau complain ntar lama lagi prosesnya,Negatif,diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya,"['diterima', 'dalam', 'keaadan', 'bocor', 'seperti', 'bekas', 'lubang', 'paku', 'jadi', 'isinya', 'tumpah', 'jadi', 'aku', 'lem', 'biar', 'isinya', 'enggak', 'tumpah', 'baru', 'pertama', 'belanja', 'disini', 'malah', 'kecewa', 'padahal', 'official', 'store', 'malas', 'saja', 'mau', 'complain', 'entar', 'lama', 'lagi', 'prosesnya']"
62,teksturnya kental banget di aku kurang ngefek sih probably ga beli lagi,Negatif,teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi,"['teksturnya', 'kental', 'banget', 'di', 'aku', 'kurang', 'ngefek', 'sih', 'probably', 'enggak', 'beli', 'lagi']"
63,botol semprotnya suka ngawur arahnya,Netral,botol semprotnya suka ngawur arahnya,"['botol', 'semprotnya', 'suka', 'ngawur', 'arahnya']"
64,produk baguss sering repurchase tapi suka kesel sama pumpnya isi masi banyak tapi gk kluar di pump susah kali pump nya,Netral,produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,"['produk', 'bagus', 'sering', 'repurchase', 'tapi', 'suka', 'kesel', 'sama', 'pumpnya', 'isi', 'masih', 'banyak', 'tapi', 'enggak', 'keluar', 'di', 'pump', 'susah', 'kali', 'pump', 'nya']"
