review_tokens,Sentimen,sentimen
mantap,Positif,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bismillah semoga cocok,Positif,"{'classified_text': 'bismillah semoga cocok [3]', 'tweet_text': ' bismillah semoga cocok', 'sentence_score': ['bismillah semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
kecewa banget pokoknya,Negatif,"{'classified_text': 'kecewa [-4] banget pokoknya', 'tweet_text': ' kecewa banget pokoknya', 'sentence_score': ['kecewa [-4] banget pokoknya'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,Negatif,"{'classified_text': 'kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti', 'tweet_text': ' kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti', 'sentence_score': ['kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
ok semoga cocok,Positif,"{'classified_text': 'ok [1] semoga cocok [3]', 'tweet_text': ' ok semoga cocok', 'sentence_score': ['ok [1] semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
ok belum dicoba,Netral,"{'classified_text': 'ok [1] belum dicoba', 'tweet_text': ' ok belum dicoba', 'sentence_score': ['ok [1] belum dicoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
sudah langganan karena cocok pakai serum ini thanks seller,Positif,"{'classified_text': 'sudah langganan karena cocok [3] pakai serum ini thanks seller', 'tweet_text': ' sudah langganan karena cocok pakai serum ini thanks seller', 'sentence_score': ['sudah langganan karena cocok [3] pakai serum ini thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya,Netral,"{'classified_text': 'serumnya benar [4] benar [5] cair banget ini pemakaian selama hari tapi belum berasa banget efeknya', 'tweet_text': ' serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya', 'sentence_score': ['serumnya benar [4] benar [5] cair banget ini pemakaian selama hari tapi belum berasa banget efeknya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
mantap pakai banget tapi perjalanan pengiriman lama banget,Netral,"{'classified_text': 'mantap [4] pakai banget tapi perjalanan pengiriman lama [-3] banget', 'tweet_text': ' mantap pakai banget tapi perjalanan pengiriman lama banget', 'sentence_score': ['mantap [4] pakai banget tapi perjalanan pengiriman lama [-3] banget'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya,Netral,"{'classified_text': 'belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya', 'tweet_text': ' belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya', 'sentence_score': ['belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
cocok banget buat oily skin kayak aku,Positif,"{'classified_text': 'cocok [4] banget buat oily skin kayak aku', 'tweet_text': ' cocok banget buat oily skin kayak aku', 'sentence_score': ['cocok [4] banget buat oily skin kayak aku'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru sekali pakai sudah kerasa halus dimuka,Positif,"{'classified_text': 'baru sekali pakai sudah kerasa halus [3] dimuka', 'tweet_text': ' baru sekali pakai sudah kerasa halus dimuka', 'sentence_score': ['baru sekali pakai sudah kerasa halus [3] dimuka'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa,Netral,"{'classified_text': 'barangnya enggak pernah sampai dari tanggal karena hilang [-3] kesalahan [-4] anteraja jadi enggak tau harus review apa', 'tweet_text': ' barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa', 'sentence_score': ['barangnya enggak pernah sampai dari tanggal karena hilang [-3] kesalahan [-4] anteraja jadi enggak tau harus review apa'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif,"{'classified_text': 'beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa [-4] banget', 'tweet_text': ' beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget', 'sentence_score': ['beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa [-4] banget'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian,Negatif,"{'classified_text': 'harusnya dapat free sesuai [3] jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang beginian', 'tweet_text': ' harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian', 'sentence_score': ['harusnya dapat free sesuai [3] jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang beginian'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
melembabkan banget teksturnya kental tapi cepat banget nyerepnya,Netral,"{'classified_text': 'melembabkan banget teksturnya kental tapi cepat [5] banget nyerepnya', 'tweet_text': ' melembabkan banget teksturnya kental tapi cepat banget nyerepnya', 'sentence_score': ['melembabkan banget teksturnya kental tapi cepat [5] banget nyerepnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi,Negatif,"{'classified_text': 'packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik [5] lagi', 'tweet_text': ' packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi', 'sentence_score': ['packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik [5] lagi'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}"
tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif,"{'classified_text': 'tertipu tidak ada gratis hadiah [3] sarung seperti [1] di gambar', 'tweet_text': ' tertipu tidak ada gratis hadiah sarung seperti di gambar', 'sentence_score': ['tertipu tidak ada gratis hadiah [3] sarung seperti [1] di gambar'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
dijanjikan expired tahu tapi dapetnya bulan,Negatif,"{'classified_text': 'dijanjikan expired tahu tapi dapetnya bulan', 'tweet_text': ' dijanjikan expired tahu tapi dapetnya bulan', 'sentence_score': ['dijanjikan expired tahu tapi dapetnya bulan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing,Negatif,"{'classified_text': 'pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing', 'tweet_text': ' pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing', 'sentence_score': ['pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
bahan ringan semoga cocok,Positif,"{'classified_text': 'bahan ringan semoga cocok [3]', 'tweet_text': ' bahan ringan semoga cocok', 'sentence_score': ['bahan ringan semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak,Netral,"{'classified_text': 'tipe kulitku berminyak', 'tweet_text': ' tipe kulitku berminyak', 'sentence_score': ['tipe kulitku berminyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
ringan banget dibibir lup lup dah buat azarine,Netral,"{'classified_text': 'ringan banget dibibir lup lup dah buat azarine', 'tweet_text': ' ringan banget dibibir lup lup dah buat azarine', 'sentence_score': ['ringan banget dibibir lup lup dah buat azarine'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
no review found,Netral,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
kali ini paket white series yang datang cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya,Negatif,"{'classified_text': 'kali ini paket white series yang datang cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas [4] didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya', 'tweet_text': ' kali ini paket white series yang datang cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya', 'sentence_score': ['kali ini paket white series yang datang cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas [4] didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tidak sampai barang nya,Negatif,"{'classified_text': 'tidak sampai barang nya', 'tweet_text': ' tidak sampai barang nya', 'sentence_score': ['tidak sampai barang nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap saja deh,Negatif,"{'classified_text': 'bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor [-4] banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar [4] kata orang ini buat kulit sensitif [-2] dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap [-2] saja deh', 'tweet_text': ' bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap saja deh', 'sentence_score': ['bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor [-4] banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar [4] kata orang ini buat kulit sensitif [-2] dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap [-2] saja deh'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
serumnya enggak dikirim,Negatif,"{'classified_text': 'serumnya enggak dikirim', 'tweet_text': ' serumnya enggak dikirim', 'sentence_score': ['serumnya enggak dikirim'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,Positif,"{'classified_text': 'baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali', 'tweet_text': ' baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali', 'sentence_score': ['baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
love banget terima kasih azarine tadinya beli karena dapat pc tapi ternyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku,Positif,"{'classified_text': 'love banget terima kasih [4] azarine tadinya beli karena dapat pc tapi ternyata memang bagus [5] banget velvety lippie cream nya dan walau enggak cocok [-3] warm tone ini bagus [5] banget di aku', 'tweet_text': ' love banget terima kasih azarine tadinya beli karena dapat pc tapi ternyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku', 'sentence_score': ['love banget terima kasih [4] azarine tadinya beli karena dapat pc tapi ternyata memang bagus [5] banget velvety lippie cream nya dan walau enggak cocok [-3] warm tone ini bagus [5] banget di aku'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
pertama kali coba belum tau sih,Netral,"{'classified_text': 'pertama kali coba belum tau sih', 'tweet_text': ' pertama kali coba belum tau sih', 'sentence_score': ['pertama kali coba belum tau sih'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
realpict sukses selalu seller,Positif,"{'classified_text': 'realpict sukses [4] selalu seller', 'tweet_text': ' realpict sukses selalu seller', 'sentence_score': ['realpict sukses [4] selalu seller'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
semua ok cuma kaya nya kulitku yang enggak cocok sama sunscreennya merasa lengket banget makenya so sorry,Netral,"{'classified_text': 'semua ok [1] cuma [-2] kaya [3] nya kulitku yang enggak cocok [-3] sama sunscreennya merasa lengket banget makenya so sorry', 'tweet_text': ' semua ok cuma kaya nya kulitku yang enggak cocok sama sunscreennya merasa lengket banget makenya so sorry', 'sentence_score': ['semua ok [1] cuma [-2] kaya [3] nya kulitku yang enggak cocok [-3] sama sunscreennya merasa lengket banget makenya so sorry'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}"
baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,Positif,"{'classified_text': 'baru pertama coba semoga cocok [3] pengemasan cepat [4] dan aman [4] pengiriman cepat [4]', 'tweet_text': ' baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat', 'sentence_score': ['baru pertama coba semoga cocok [3] pengemasan cepat [4] dan aman [4] pengiriman cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum,Negatif,"{'classified_text': 'saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon [1] untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai [3] dengan pesanan atau belum', 'tweet_text': ' saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum', 'sentence_score': ['saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon [1] untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai [3] dengan pesanan atau belum'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pelayanan admin nya jelek,Negatif,"{'classified_text': 'pelayanan admin nya jelek [-4]', 'tweet_text': ' pelayanan admin nya jelek', 'sentence_score': ['pelayanan admin nya jelek [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,Negatif,"{'classified_text': 'agak kesel ya aku sudah menunggu [-2] barangnya dan yang datang salah [-4] dong produknya mana [-4] di bungkusnya sesuai [3] sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah [4] kirim kayak begini selain rugi [-4] di harga aku juga jadi kehilangan [-3] kepercayaan [4] sama ini toko mana [-4] lama [-2] juga mana [-4] ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan [-4] di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda', 'tweet_text': ' agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda', 'sentence_score': ['agak kesel ya aku sudah menunggu [-2] barangnya dan yang datang salah [-4] dong produknya mana [-4] di bungkusnya sesuai [3] sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah [4] kirim kayak begini selain rugi [-4] di harga aku juga jadi kehilangan [-3] kepercayaan [4] sama ini toko mana [-4] lama [-2] juga mana [-4] ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan [-4] di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
barang yang dikirim cuman harusnya karena saya beli twin pack,Negatif,"{'classified_text': 'barang yang dikirim cuman harusnya karena saya beli twin pack', 'tweet_text': ' barang yang dikirim cuman harusnya karena saya beli twin pack', 'sentence_score': ['barang yang dikirim cuman harusnya karena saya beli twin pack'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan,Negatif,"{'classified_text': 'saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan', 'tweet_text': ' saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan', 'sentence_score': ['saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
sesuai deskripsi,Positif,"{'classified_text': 'sesuai [3] deskripsi', 'tweet_text': ' sesuai deskripsi', 'sentence_score': ['sesuai [3] deskripsi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
